"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (annual growth rate) (BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A)"
"1990-09-30","1990Sep","6.9"
"1990-10-31","1990Oct","6.3"
"1990-11-30","1990Nov","6.1"
"1990-12-31","1990Dec","6.0"
"1991-01-31","1991Jan","4.8"
"1991-02-28","1991Feb","5.7"
"1991-03-31","1991Mar","5.2"
"1991-04-30","1991Apr","5.5"
"1991-05-31","1991May","5.5"
"1991-06-30","1991Jun","5.0"
"1991-07-31","1991Jul","4.5"
"1991-08-31","1991Aug","4.0"
"1991-09-30","1991Sep","3.2"
"1991-10-31","1991Oct","3.3"
"1991-11-30","1991Nov","3.6"
"1991-12-31","1991Dec","3.5"
"1992-01-31","1992Jan","3.1"
"1992-02-29","1992Feb","2.2"
"1992-03-31","1992Mar","3.5"
"1992-04-30","1992Apr","3.7"
"1992-05-31","1992May","3.7"
"1992-06-30","1992Jun","3.0"
"1992-07-31","1992Jul","3.1"
"1992-08-31","1992Aug","3.0"
"1992-09-30","1992Sep","4.4"
"1992-10-31","1992Oct","4.7"
"1992-11-30","1992Nov","4.9"
"1992-12-31","1992Dec","4.1"
"1993-01-31","1993Jan","4.3"
"1993-02-28","1993Feb","4.5"
"1993-03-31","1993Mar","4.7"
"1993-04-30","1993Apr","4.2"
"1993-05-31","1993May","4.0"
"1993-06-30","1993Jun","5.2"
"1993-07-31","1993Jul","5.1"
"1993-08-31","1993Aug","5.3"
"1993-09-30","1993Sep","4.8"
"1993-10-31","1993Oct","5.8"
"1993-11-30","1993Nov","5.9"
"1993-12-31","1993Dec","6.8"
"1994-01-31","1994Jan","8.3"
"1994-02-28","1994Feb","8.8"
"1994-03-31","1994Mar","8.8"
"1994-04-30","1994Apr","8.8"
"1994-05-31","1994May","8.0"
"1994-06-30","1994Jun","8.1"
"1994-07-31","1994Jul","7.9"
"1994-08-31","1994Aug","7.9"
"1994-09-30","1994Sep","7.5"
"1994-10-31","1994Oct","6.7"
"1994-11-30","1994Nov","5.0"
"1994-12-31","1994Dec","4.3"
"1995-01-31","1995Jan","3.3"
"1995-02-28","1995Feb","3.4"
"1995-03-31","1995Mar","2.4"
"1995-04-30","1995Apr","2.2"
"1995-05-31","1995May","3.3"
"1995-06-30","1995Jun","2.8"
"1995-07-31","1995Jul","3.0"
"1995-08-31","1995Aug","2.8"
"1995-09-30","1995Sep","3.7"
"1995-10-31","1995Oct","3.1"
"1995-11-30","1995Nov","4.0"
"1995-12-31","1995Dec","6.3"
"1996-01-31","1996Jan","5.7"
"1996-02-29","1996Feb","4.9"
"1996-03-31","1996Mar","5.3"
"1996-04-30","1996Apr","6.3"
"1996-05-31","1996May","6.1"
"1996-06-30","1996Jun","6.1"
"1996-07-31","1996Jul","6.5"
"1996-08-31","1996Aug","7.0"
"1996-09-30","1996Sep","6.8"
"1996-10-31","1996Oct","7.7"
"1996-11-30","1996Nov","8.4"
"1996-12-31","1996Dec","8.1"
"1997-01-31","1997Jan","8.4"
"1997-02-28","1997Feb","8.9"
"1997-03-31","1997Mar","8.5"
"1997-04-30","1997Apr","7.5"
"1997-05-31","1997May","8.3"
"1997-06-30","1997Jun","9.3"
"1997-07-31","1997Jul","9.6"
"1997-08-31","1997Aug","9.2"
"1997-09-30","1997Sep","8.9"
"1997-10-31","1997Oct","9.9"
"1997-11-30","1997Nov","8.4"
"1997-12-31","1997Dec","6.7"
"1998-01-31","1998Jan","7.4"
"1998-02-28","1998Feb","7.7"
"1998-03-31","1998Mar","9.1"
"1998-04-30","1998Apr","10.1"
"1998-05-31","1998May","9.3"
"1998-06-30","1998Jun","9.6"
"1998-07-31","1998Jul","8.3"
"1998-08-31","1998Aug","8.2"
"1998-09-30","1998Sep","8.3"
"1998-10-31","1998Oct","7.6"
"1998-11-30","1998Nov","8.8"
"1998-12-31","1998Dec","10.0"
"1999-01-31","1999Jan","14.7"
"1999-02-28","1999Feb","12.4"
"1999-03-31","1999Mar","12.2"
"1999-04-30","1999Apr","12.2"
"1999-05-31","1999May","12.3"
"1999-06-30","1999Jun","12.1"
"1999-07-31","1999Jul","13.8"
"1999-08-31","1999Aug","13.1"
"1999-09-30","1999Sep","12.8"
"1999-10-31","1999Oct","12.6"
"1999-11-30","1999Nov","12.0"
"1999-12-31","1999Dec","11.1"
