date,IP_USA
2015-01-01,102.346
2015-01-02,102.33204516129032
2015-01-03,102.31809032258064
2015-01-04,102.30413548387097
2015-01-05,102.2901806451613
2015-01-06,102.27622580645162
2015-01-07,102.26227096774194
2015-01-08,102.24831612903226
2015-01-09,102.23436129032258
2015-01-10,102.2204064516129
2015-01-11,102.20645161290322
2015-01-12,102.19249677419354
2015-01-13,102.17854193548388
2015-01-14,102.1645870967742
2015-01-15,102.15063225806452
2015-01-16,102.13667741935484
2015-01-17,102.12272258064516
2015-01-18,102.10876774193548
2015-01-19,102.0948129032258
2015-01-20,102.08085806451612
2015-01-21,102.06690322580646
2015-01-22,102.05294838709678
2015-01-23,102.0389935483871
2015-01-24,102.02503870967742
2015-01-25,102.01108387096774
2015-01-26,101.99712903225806
2015-01-27,101.98317419354838
2015-01-28,101.9692193548387
2015-01-29,101.95526451612903
2015-01-30,101.94130967741935
2015-01-31,101.92735483870968
2015-02-01,101.9134
2015-02-02,101.91268571428571
2015-02-03,101.91197142857142
2015-02-04,101.91125714285714
2015-02-05,101.91054285714286
2015-02-06,101.90982857142856
2015-02-07,101.90911428571428
2015-02-08,101.9084
2015-02-09,101.9076857142857
2015-02-10,101.90697142857142
2015-02-11,101.90625714285714
2015-02-12,101.90554285714285
2015-02-13,101.90482857142857
2015-02-14,101.90411428571429
2015-02-15,101.9034
2015-02-16,101.90268571428571
2015-02-17,101.90197142857143
2015-02-18,101.90125714285715
2015-02-19,101.90054285714285
2015-02-20,101.89982857142857
2015-02-21,101.89911428571429
2015-02-22,101.8984
2015-02-23,101.89768571428571
2015-02-24,101.89697142857143
2015-02-25,101.89625714285714
2015-02-26,101.89554285714286
2015-02-27,101.89482857142858
2015-02-28,101.89411428571428
2015-03-01,101.8934
2015-03-02,101.82012903225807
2015-03-03,101.74685806451613
2015-03-04,101.6735870967742
2015-03-05,101.60031612903225
2015-03-06,101.52704516129032
2015-03-07,101.45377419354838
2015-03-08,101.38050322580645
2015-03-09,101.30723225806452
2015-03-10,101.23396129032258
2015-03-11,101.16069032258065
2015-03-12,101.08741935483872
2015-03-13,101.01414838709677
2015-03-14,100.94087741935483
2015-03-15,100.8676064516129
2015-03-16,100.79433548387097
2015-03-17,100.72106451612903
2015-03-18,100.6477935483871
2015-03-19,100.57452258064517
2015-03-20,100.50125161290323
2015-03-21,100.42798064516128
2015-03-22,100.35470967741935
2015-03-23,100.28143870967742
2015-03-24,100.20816774193548
2015-03-25,100.13489677419355
2015-03-26,100.06162580645162
2015-03-27,99.98835483870968
2015-03-28,99.91508387096775
2015-03-29,99.8418129032258
2015-03-30,99.76854193548387
2015-03-31,99.69527096774193
2015-04-01,99.622
2015-04-02,99.62973333333333
2015-04-03,99.63746666666667
2015-04-04,99.6452
2015-04-05,99.65293333333334
2015-04-06,99.66066666666667
2015-04-07,99.6684
2015-04-08,99.67613333333334
2015-04-09,99.68386666666666
2015-04-10,99.6916
2015-04-11,99.69933333333333
2015-04-12,99.70706666666666
2015-04-13,99.7148
2015-04-14,99.72253333333333
2015-04-15,99.73026666666667
2015-04-16,99.738
2015-04-17,99.74573333333333
2015-04-18,99.75346666666667
2015-04-19,99.7612
2015-04-20,99.76893333333334
2015-04-21,99.77666666666667
2015-04-22,99.7844
2015-04-23,99.79213333333334
2015-04-24,99.79986666666666
2015-04-25,99.8076
2015-04-26,99.81533333333333
2015-04-27,99.82306666666666
2015-04-28,99.8308
2015-04-29,99.83853333333333
2015-04-30,99.84626666666666
2015-05-01,99.854
2015-05-02,99.9325
2015-05-03,100.011
2015-05-04,100.0895
2015-05-05,100.16799999999999
2015-05-06,100.2465
2015-05-07,100.325
2015-05-08,100.4035
2015-05-09,100.482
2015-05-10,100.5605
2015-05-11,100.639
2015-05-12,100.7175
2015-05-13,100.79599999999999
2015-05-14,100.8745
2015-05-15,100.953
2015-05-16,101.0315
2015-05-17,101.11
2015-05-18,101.18849999999999
2015-05-19,101.267
2015-05-20,101.3455
2015-05-21,101.42399999999999
2015-05-22,101.5025
2015-05-23,101.58099999999999
2015-05-24,101.6595
2015-05-25,101.738
2015-05-26,101.81649999999999
2015-05-27,101.895
2015-05-28,101.9735
2015-05-29,102.05199999999999
2015-05-30,102.1305
2015-05-31,102.20899999999999
2015-06-01,102.2875
2015-06-02,102.24646666666666
2015-06-03,102.20543333333333
2015-06-04,102.1644
2015-06-05,102.12336666666666
2015-06-06,102.08233333333332
2015-06-07,102.04129999999999
2015-06-08,102.00026666666666
2015-06-09,101.95923333333333
2015-06-10,101.9182
2015-06-11,101.87716666666667
2015-06-12,101.83613333333334
2015-06-13,101.79509999999999
2015-06-14,101.75406666666666
2015-06-15,101.71303333333333
2015-06-16,101.672
2015-06-17,101.63096666666667
2015-06-18,101.58993333333333
2015-06-19,101.5489
2015-06-20,101.50786666666666
2015-06-21,101.46683333333333
2015-06-22,101.4258
2015-06-23,101.38476666666666
2015-06-24,101.34373333333333
2015-06-25,101.3027
2015-06-26,101.26166666666667
2015-06-27,101.22063333333334
2015-06-28,101.1796
2015-06-29,101.13856666666666
2015-06-30,101.09753333333333
2015-07-01,101.0565
2015-07-02,101.12926451612903
2015-07-03,101.20202903225807
2015-07-04,101.2747935483871
2015-07-05,101.34755806451614
2015-07-06,101.42032258064516
2015-07-07,101.49308709677419
2015-07-08,101.56585161290323
2015-07-09,101.63861612903226
2015-07-10,101.71138064516128
2015-07-11,101.78414516129033
2015-07-12,101.85690967741935
2015-07-13,101.9296741935484
2015-07-14,102.00243870967742
2015-07-15,102.07520322580645
