observation_date,"PENUSD"
05Ene15,2.992
06Ene15,2.983
07Ene15,2.987
08Ene15,2.989
09Ene15,2.986
12Ene15,2.989
13Ene15,2.985
14Ene15,2.994
15Ene15,2.997
16Ene15,3.013
19Ene15,3.012
20Ene15,3.009
21Ene15,3.011
22Ene15,3.004
23Ene15,3.012
26Ene15,3.02
27Ene15,3.024
28Ene15,3.029
29Ene15,3.045
30Ene15,3.058
02Feb15,3.06
03Feb15,3.059
04Feb15,3.062
05Feb15,3.063
06Feb15,3.068
09Feb15,3.065
10Feb15,3.076
11Feb15,3.094
12Feb15,3.082
13Feb15,3.075
16Feb15,3.085
17Feb15,3.083
18Feb15,3.086
19Feb15,3.087
20Feb15,3.089
23Feb15,3.09
24Feb15,3.095
25Feb15,3.095
26Feb15,3.094
27Feb15,3.095
02Mar15,3.097
03Mar15,3.093
04Mar15,3.094
05Mar15,3.098
06Mar15,3.101
09Mar15,3.1
10Mar15,3.1
11Mar15,3.101
12Mar15,3.099
13Mar15,3.099
16Mar15,3.099
17Mar15,3.098
18Mar15,3.1
19Mar15,3.096
20Mar15,3.091
23Mar15,3.08
24Mar15,3.075
25Mar15,3.066
26Mar15,3.077
27Mar15,3.091
30Mar15,3.096
31Mar15,3.097
01Abr15,3.095
02Abr15,n.d.
03Abr15,n.d.
06Abr15,3.093
07Abr15,3.099
08Abr15,3.104
09Abr15,3.113
10Abr15,3.123
13Abr15,3.125
14Abr15,3.12
15Abr15,3.125
16Abr15,3.125
17Abr15,3.127
20Abr15,3.132
21Abr15,3.132
22Abr15,3.134
23Abr15,3.134
24Abr15,3.136
27Abr15,3.135
28Abr15,3.128
29Abr15,3.122
30Abr15,3.127
01May15,n.d.
04May15,3.138
05May15,3.148
06May15,3.145
07May15,3.153
08May15,3.15
11May15,3.154
12May15,3.153
13May15,3.153
14May15,3.151
15May15,3.148
18May15,3.151
19May15,3.155
20May15,3.158
21May15,3.151
22May15,3.148
25May15,3.151
26May15,3.155
27May15,3.156
28May15,3.158
29May15,3.158
01Jun15,3.158
02Jun15,3.157
03Jun15,3.154
04Jun15,3.149
05Jun15,3.153
08Jun15,3.154
09Jun15,3.153
10Jun15,3.154
11Jun15,3.155
12Jun15,3.156
15Jun15,3.158
16Jun15,3.162
17Jun15,3.165
18Jun15,3.163
19Jun15,3.167
22Jun15,3.174
23Jun15,3.18
24Jun15,3.177
25Jun15,3.17
26Jun15,3.173
29Jun15,n.d.
30Jun15,3.179
01Jul15,3.179
02Jul15,3.175
03Jul15,3.174
06Jul15,3.178
07Jul15,3.182
08Jul15,3.187
09Jul15,3.182
10Jul15,3.179
13Jul15,3.178
14Jul15,3.179
15Jul15,3.182
16Jul15,3.179
17Jul15,3.182
20Jul15,3.186
21Jul15,3.182
22Jul15,3.187
23Jul15,3.191
24Jul15,3.191
27Jul15,n.d.
28Jul15,n.d.
29Jul15,n.d.
30Jul15,3.193
31Jul15,3.192
03Ago15,3.193
04Ago15,3.194
05Ago15,3.202
06Ago15,3.205
07Ago15,3.203
10Ago15,3.201
11Ago15,3.216
12Ago15,3.229
13Ago15,3.233
14Ago15,3.239
17Ago15,3.245
18Ago15,3.249
19Ago15,3.254
20Ago15,3.265
21Ago15,3.274
24Ago15,3.279
25Ago15,3.281
26Ago15,3.305
27Ago15,3.281
28Ago15,3.255
31Ago15,3.237
01Set15,3.247
02Set15,3.255
03Set15,3.231
04Set15,3.215
07Set15,3.227
08Set15,3.226
09Set15,3.221
10Set15,3.221
11Set15,3.214
14Set15,3.208
15Set15,3.21
16Set15,3.208
17Set15,3.197
18Set15,3.195
21Set15,3.195
22Set15,3.212
23Set15,3.224
24Set15,3.227
25Set15,3.222
28Set15,3.234
29Set15,3.239
30Set15,3.223
01Oct15,3.231
02Oct15,3.227
05Oct15,3.218
06Oct15,3.223
07Oct15,3.221
08Oct15,n.d.
09Oct15,n.d.
12Oct15,3.229
13Oct15,3.236
14Oct15,3.242
15Oct15,3.236
16Oct15,3.242
19Oct15,3.253
20Oct15,3.258
21Oct15,3.262
22Oct15,3.257
23Oct15,3.267
26Oct15,3.27
27Oct15,3.28
28Oct15,3.279
29Oct15,3.288
