date,log_cpi_daily,cpi_daily,cpi_rebased_2015m1_100,log_cpi_rebased_2015m1_100
2020-01-06,5.553288606065259,258.0849014214749,110.4309675882515,4.70439059802601
2020-01-07,5.553376892177682,258.10768773993954,110.44071753945734,4.7044788841384335
2020-01-08,5.553465178290105,258.13047607020843,110.45046835148646,4.704567170250857
2020-01-09,5.55355346440253,258.15326641245946,110.46022002441498,4.704655456363281
2020-01-10,5.553641750514953,258.1760587668698,110.46997255831867,4.704743742475705
2020-01-11,5.5537300366273765,258.1988531336173,110.47972595327369,4.704832028588127
2020-01-12,5.553818322739801,258.22164951287994,110.48948020935615,4.704920314700552
2020-01-13,5.553906608852224,258.2444479048349,110.49923532664188,4.705008600812976
2020-01-14,5.553994894964648,258.26724830966003,110.50899130520698,4.705096886925398
2020-01-15,5.554083181077072,258.2900507275334,110.51874814512763,4.7051851730378225
2020-01-16,5.554171467189495,258.31285515863226,110.52850584647969,4.705273459150246
2020-01-17,5.554259753301919,258.33566160313455,110.53826440933929,4.705361745262669
2020-01-18,5.554348039414342,258.3584700612181,110.54802383378252,4.7054500313750935
2020-01-19,5.554436325526766,258.3812805330608,110.55778411988553,4.705538317487518
2020-01-20,5.55452461163919,258.40409301884006,110.56754526772417,4.705626603599941
2020-01-21,5.554612897751613,258.4269075187339,110.57730727737464,4.705714889712365
2020-01-22,5.554701183864037,258.4497240329204,110.58707014891316,4.705803175824789
2020-01-23,5.554789469976461,258.472542561577,110.5968338824156,4.705891461937212
2020-01-24,5.554877756088884,258.4953631048816,110.60659847795816,4.705979748049636
2020-01-25,5.5549660422013085,258.5181856630125,110.61636393561704,4.70606803416206
2020-01-26,5.555054328313732,258.54101023614703,110.6261302554682,4.706156320274483
2020-01-27,5.555142614426155,258.56383682446335,110.63589743758784,4.706244606386907
2020-01-28,5.55523090053858,258.58666542813955,110.64566548205215,4.706332892499331
2020-01-29,5.555319186651003,258.6094960473532,110.6554343889371,4.706421178611754
2020-01-30,5.555407472763426,258.6323286822825,110.66520415831897,4.706509464724178
2020-01-31,5.555495758875851,258.6551633331055,110.67497479027395,4.706597750836601
2020-02-01,5.555584044988274,258.6779999999999,110.68474628487803,4.706686036949025
2020-02-02,5.555508913162635,258.6585657796806,110.67643065020758,4.706610905123386
2020-02-03,5.555433781336997,258.6391330194351,110.66811564028256,4.706535773297748
2020-02-04,5.555358649511358,258.6197017191533,110.65980125505584,4.706460641472109
2020-02-05,5.555283517685719,258.60027187872595,110.65148749448068,4.70638550964647
2020-02-06,5.55520838586008,258.58084349804295,110.64317435851001,4.706310377820832
2020-02-07,5.555133254034442,258.561416576995,110.63486184709701,4.706235245995193
2020-02-08,5.555058122208803,258.54199111547206,110.62654996019465,4.706160114169554
2020-02-09,5.554982990383165,258.5225671133649,110.61823869775615,4.706084982343916
2020-02-10,5.554907858557526,258.5031445705635,110.60992805973441,4.706009850518276
2020-02-11,5.554832726731886,258.4837234869583,110.60161804608263,4.705934718692638
2020-02-12,5.554757594906248,258.46430386244003,110.593308656754,4.705859586867
2020-02-13,5.554682463080609,258.44488569689855,110.58499989170141,4.705784455041361
2020-02-14,5.554607331254971,258.4254689902247,110.57669175087813,4.705709323215721
2020-02-15,5.554532199429332,258.4060537423085,110.56838423423712,4.705634191390083
2020-02-16,5.5544570676036935,258.3866399530407,110.56007734173163,4.705559059564445
2020-02-17,5.554381935778054,258.3672276223113,110.5517710733146,4.705483927738805
2020-02-18,5.554306803952416,258.34781675001125,110.54346542893936,4.705408795913168
2020-02-19,5.554231672126777,258.3284073360304,110.53516040855878,4.7053336640875285
2020-02-20,5.554156540301139,258.30899938025976,110.52685601212622,4.70525853226189
2020-02-21,5.5540814084755,258.2895928825892,110.51855223959454,4.70518340043625
2020-02-22,5.554006276649861,258.27018784290954,110.51024909091707,4.705108268610612
2020-02-23,5.553931144824222,258.25078426111133,110.50194656604697,4.705033136784974
2020-02-24,5.553856012998583,258.2313821370847,110.49364466493718,4.704958004959335
2020-02-25,5.553780881172945,258.2119814707205,110.48534338754104,4.704882873133696
2020-02-26,5.553705749347306,258.19258226190885,110.47704273381152,4.704807741308057
2020-02-27,5.553630617521668,258.17318451054064,110.46874270370193,4.704732609482419
2020-02-28,5.5535554856960285,258.1537882165059,110.46044329716524,4.70465747765678
2020-02-29,5.55348035387039,258.13439337969567,110.45214451415477,4.704582345831142
2020-03-01,5.553405222044751,258.1149999999999,110.4438463546235,4.704507214005503
2020-03-02,5.553188789798473,258.05914163574556,110.41994533143877,4.704290781759225
2020-03-03,5.552972357552195,258.0032953597343,110.39604948064643,4.704074349512947
2020-03-04,5.5527559253059176,257.94746116935005,110.3721588011271,4.703857917266669
2020-03-05,5.552539493059641,257.8916390619777,110.34827329176179,4.703641485020392
2020-03-06,5.552323060813363,257.83582903500184,110.32439295143143,4.703425052774114
2020-03-07,5.552106628567085,257.7800310858084,110.3005177790175,4.703208620527835
2020-03-08,5.551890196320807,257.7242452117837,110.27664777340162,4.7029921882815575
2020-03-09,5.551673764074529,257.6684714103145,110.25278293346562,4.70277575603528
2020-03-10,5.551457331828251,257.6127096787883,110.22892325809168,4.702559323789003
2020-03-11,5.551240899581974,257.5569600145932,110.20506874616215,4.702342891542726
2020-03-12,5.551024467335696,257.5012224151172,110.18121939655947,4.702126459296448
2020-03-13,5.5508080350894184,257.44549687774975,110.15737520816656,4.70191002705017
2020-03-14,5.550591602843141,257.38978339988046,110.13353617986645,4.701693594803892
2020-03-15,5.550375170596863,257.33408197889946,110.10970231054247,4.701477162557613
2020-03-16,5.550158738350585,257.2783926121977,110.08587359907823,4.701260730311336
2020-03-17,5.549942306104308,257.22271529716664,110.06205004435753,4.701044298065059
2020-03-18,5.54972587385803,257.16705003119773,110.03823164526428,4.700827865818781
2020-03-19,5.549509441611752,257.11139681168373,110.0144184006828,4.700611433572503
2020-03-20,5.549293009365474,257.05575563601764,109.99061030949765,4.700395001326226
2020-03-21,5.549076577119196,257.0001265015931,109.96680737059359,4.700178569079948
2020-03-22,5.5488601448729185,256.94450940580424,109.94300958285557,4.699962136833669
2020-03-23,5.5486437126266415,256.88890434604605,109.919216945169,4.699745704587393
2020-03-24,5.548427280380364,256.8333113197134,109.89542945641912,4.699529272341115
2020-03-25,5.548210848134086,256.7777303242023,109.87164711549178,4.699312840094837
2020-03-26,5.547994415887808,256.7221613569092,109.84786992127292,4.699096407848559
2020-03-27,5.54777798364153,256.6666044152311,109.82409787264874,4.698879975602281
2020-03-28,5.547561551395252,256.61105949656564,109.80033096850572,4.698663543356004
2020-03-29,5.547345119148975,256.555526598311,109.77656920773065,4.698447111109727
2020-03-30,5.547128686902697,256.50000571786546,109.75281258921021,4.698230678863448
2020-03-31,5.546912254656419,256.44449685262856,109.72906111183174,4.698014246617171
2020-04-01,5.5466958224101415,256.389,109.7053147744826,4.697797814370893
2020-04-02,5.546696472457692,256.38916666509573,109.70538608817697,4.697798464418443
2020-04-03,5.546697122505243,256.38933333029973,109.70545740191768,4.697799114465994
2020-04-04,5.546697772552794,256.38949999561214,109.70552871570479,4.697799764513546
2020-04-05,5.546698422600345,256.38966666103283,109.70560002953822,4.6978004145610965
2020-04-06,5.546699072647897,256.38983332656215,109.70567134341813,4.697801064608648
2020-04-07,5.546699722695448,256.38999999219953,109.70574265734427,4.697801714656199
2020-04-08,5.546700372742999,256.39016665794526,109.70581397131679,4.69780236470375
2020-04-09,5.5467010227905496,256.3903333237994,109.70588528533567,4.697803014751301
2020-04-10,5.5467016728381004,256.3904999897618,109.70595659940088,4.697803664798852
