date,rate,rate_interpolated,log_rate,diff,Wt
2015-01-07,2.987,2.987,1.0942695392339727,0.001340033701361154,0.001232258735829675
2015-01-08,2.989,2.989,1.0949388833018008,0.0006693440678280371,0.000561569102296558
2015-01-09,2.986,2.986,1.0939346991169987,-0.0010041841848020816,-0.0011119591503335607
2015-01-12,2.989,2.989,1.0949388833018008,0.0010041841848020816,0.0008964092192706025
2015-01-13,2.985,2.985,1.0935997468445653,-0.0013391364572354902,-0.0014469114227669694
2015-01-14,2.994,2.994,1.0966102859974367,0.0030105391528714165,0.0029027641873399374
2015-01-15,2.997,2.997,1.0976117883345262,0.0010015023370895104,0.0008937273715580313
2015-01-16,3.013,3.013,1.1029362601481643,0.005324471813638043,0.005216696848106564
2015-01-19,3.012,3.012,1.1026043099376472,-0.000331950210517018,-0.0004397251760484971
2015-01-20,3.009,3.009,1.1016077976479082,-0.000996512289739071,-0.0011042872552705502
2015-01-21,3.011,3.011,1.102272249499597,0.0006644518516887299,0.0005566768861572507
2015-01-22,3.004,3.004,1.0999447339018884,-0.002327515597708496,-0.002435290563239975
2015-01-23,3.012,3.012,1.1026043099376472,0.002659576035758837,0.002551801070227358
2015-01-26,3.02,3.02,1.1052568313867783,0.0026525214491310845,0.0025447464835996053
2015-01-27,3.024,3.024,1.1065804583172865,0.0013236269305081372,0.001215851964976658
2015-01-28,3.029,3.029,1.1082325320451003,0.0016520737278138409,0.0015442987622823617
2015-01-29,3.045,3.045,1.1135009011618604,0.0052683691167600966,0.005160594151228617
2015-01-30,3.058,3.058,1.1177611075068705,0.00426020634501012,0.004152431379478641
2015-02-02,3.06,3.06,1.1184149159642893,0.000653808457418803,0.0005460334918873239
2015-02-03,3.059,3.059,1.1180880651687664,-0.00032685079552297047,-0.00043462576105444956
2015-02-04,3.062,3.062,1.119068297235492,0.0009802320667255948,0.0008724571011941157
2015-02-05,3.063,3.063,1.1193948278506383,0.0003265306151463143,0.00021875564961483523
2015-02-06,3.068,3.068,1.1210258835050098,0.0016310556543714938,0.0015232806888400147
2015-02-09,3.065,3.065,1.1200475693881746,-0.0009783141168351328,-0.001086089082366612
2015-02-10,3.076,3.076,1.1236300516433975,0.003582482255222841,0.0034747072896913617
2015-02-11,3.094,3.094,1.1294647521508743,0.005834700507476809,0.00572692554194533
2015-02-12,3.082,3.082,1.125578736897924,-0.0038860152529502923,-0.003993790218481771
2015-02-13,3.075,3.075,1.1233049012584813,-0.002273835639442723,-0.002381610604974202
2015-02-16,3.085,3.085,1.126551657357351,0.0032467560988698185,0.0031389811333383394
2015-02-17,3.083,3.083,1.1259031489040134,-0.0006485084533376373,-0.0007562834188691164
2015-02-18,3.086,3.086,1.126875753940969,0.0009726050369556205,0.0008648300714241414
2015-02-19,3.087,3.087,1.1271997455200222,0.0003239915790531622,0.00021621661352168314
2015-02-20,3.089,3.089,1.1278474139364447,0.0006476684164224977,0.0005398934508910186
2015-02-23,3.09,3.09,1.128171090909654,0.0003236769732093414,0.00021590200767786233
2015-02-24,3.095,3.095,1.1297879061365594,0.001616815226905377,0.001509040261373898
2015-02-25,3.095,3.095,1.1297879061365594,0.0,-0.00010777496553147908
2015-02-26,3.094,3.094,1.1294647521508743,-0.00032315398568516507,-0.00043092895121664415
2015-02-27,3.095,3.095,1.1297879061365594,0.00032315398568516507,0.00021537902015368598
2015-03-02,3.097,3.097,1.1304339009910658,0.0006459948545063376,0.0005382198889748585
2015-03-03,3.093,3.093,1.1291414937029325,-0.0012924072881332904,-0.0014001822536647696
2015-03-04,3.094,3.094,1.1294647521508743,0.0003232584479417877,0.00021548348241030862
2015-03-05,3.098,3.098,1.130756741994677,0.0012919898438026323,0.0011842148782711531
2015-03-06,3.101,3.101,1.1317246401183119,0.0009678981236349582,0.0008601231581034791
2015-03-09,3.1,3.1,1.1314021114911006,-0.0003225286272112715,-0.0004303035927427506
2015-03-10,3.1,3.1,1.1314021114911006,0.0,-0.00010777496553147908
2015-03-11,3.101,3.101,1.1317246401183119,0.0003225286272112715,0.00021475366167979243
2015-03-12,3.099,3.099,1.1310794788056113,-0.0006451613127005373,-0.0007529362782320165
2015-03-13,3.099,3.099,1.1310794788056113,0.0,-0.00010777496553147908
2015-03-16,3.099,3.099,1.1310794788056113,0.0,-0.00010777496553147908
2015-03-17,3.098,3.098,1.130756741994677,-0.00032273681093442086,-0.00043051177646589994
2015-03-18,3.1,3.1,1.1314021114911006,0.0006453694964236867,0.0005375945308922075
2015-03-19,3.096,3.096,1.1301109557274807,-0.0012911557636199333,-0.0013989307291514125
2015-03-20,3.091,3.091,1.1284946631499793,-0.0016162925775013992,-0.0017240675430328783
2015-03-23,3.08,3.08,1.1249295969854831,-0.0035650661644961446,-0.0036728411300276237
2015-03-24,3.075,3.075,1.1233049012584813,-0.001624695727001857,-0.001732470692533336
2015-03-25,3.066,3.066,1.1203737804496223,-0.0029311208088589336,-0.0030388957743904127
2015-03-26,3.077,3.077,1.1239550963399048,0.0035813158902824327,0.0034735409247509536
2015-03-27,3.091,3.091,1.1284946631499793,0.004539566810074502,0.004431791844543023
2015-03-30,3.096,3.096,1.1301109557274807,0.0016162925775013992,0.00150851761196992
2015-03-31,3.097,3.097,1.1304339009910658,0.0003229452635851171,0.00021517029805363802
2015-04-01,3.095,3.095,1.1297879061365594,-0.0006459948545063376,-0.0007537698200378168
2015-04-06,3.093,3.093,1.1291414937029325,-0.0006464124336269528,-0.0007541873991584319
2015-04-07,3.099,3.099,1.1310794788056113,0.0019379851026788408,0.0018302101371473617
2015-04-08,3.104,3.104,1.1326916023209723,0.001612123515360997,0.0015043485498295178
2015-04-09,3.113,3.113,1.1355868914594711,0.002895289138498791,0.002787514172967312
2015-04-10,3.123,3.123,1.1387940783009416,0.0032071868414704774,0.0030994118759389983
2015-04-13,3.125,3.125,1.1394342831883648,0.0006402048874232236,0.0005324299218917444
2015-04-14,3.12,3.12,1.1378330018213911,-0.0016012813669736836,-0.0017090563325051628
2015-04-15,3.125,3.125,1.1394342831883648,0.0016012813669736836,0.0014935064014422045
2015-04-16,3.125,3.125,1.1394342831883648,0.0,-0.00010777496553147908
2015-04-17,3.127,3.127,1.1400740784757042,0.0006397952873393731,0.0005320203218078939
2015-04-20,3.132,3.132,1.1416717781285568,0.0015976996528526133,0.0014899246873211341
2015-04-21,3.132,3.132,1.1416717781285568,0.0,-0.00010777496553147908
2015-04-22,3.134,3.134,1.142310143933829,0.0006383658052722119,0.0005305908397407327
2015-04-23,3.134,3.134,1.142310143933829,0.0,-0.00010777496553147908
2015-04-24,3.136,3.136,1.1429481024881614,0.0006379585543323518,0.0005301835888008727
2015-04-27,3.135,3.135,1.142629174084884,-0.00031892840327740757,-0.00042670336880888665
2015-04-28,3.128,3.128,1.1403938226830648,-0.0022353514018191856,-0.0023431263673506647
2015-04-29,3.122,3.122,1.1384738220932402,-0.0019200005898245553,-0.0020277755553560345
2015-04-30,3.127,3.127,1.1400740784757042,0.0016002563824639715,0.0014924814169324924
2015-05-04,3.138,3.138,1.143585654310841,0.0035115758351367266,0.0034038008696052474
2015-05-05,3.148,3.148,1.146767330555157,0.0031816762443159785,0.0030739012787844994
2015-05-06,3.145,3.145,1.1458138901524038,-0.0009534404027531362,-0.0010612153682846154
2015-05-07,3.153,3.153,1.1483543805629237,0.0025404904105199577,0.0024327154449884786
2015-05-08,3.15,3.15,1.1474024528375417,-0.0009519277253819958,-0.001059702690913475
2015-05-11,3.154,3.154,1.1486714885408467,0.0012690357033049438,0.0011612607377734646
2015-05-12,3.153,3.153,1.1483543805629237,-0.000317107977922948,-0.00042488294345442707
2015-05-13,3.153,3.153,1.1483543805629237,0.0,-0.00010777496553147908
2015-05-14,3.151,3.151,1.1477198627751375,-0.0006345177877862263,-0.0007422927533177054
2015-05-15,3.148,3.148,1.146767330555157,-0.0009525322199805952,-0.0010603071855120744
2015-05-18,3.151,3.151,1.1477198627751375,0.0009525322199805952,0.0008447572544491161
2015-05-19,3.155,3.155,1.1489884959931764,0.0012686332180389392,0.0011608582525074601
2015-05-20,3.158,3.158,1.1499389158334503,0.0009504198402738862,0.000842644874742407
2015-05-21,3.151,3.151,1.1477198627751375,-0.0022190530583128254,-0.0023268280238443045
2015-05-22,3.148,3.148,1.146767330555157,-0.0009525322199805952,-0.0010603071855120744
2015-05-25,3.151,3.151,1.1477198627751375,0.0009525322199805952,0.0008447572544491161
2015-05-26,3.155,3.155,1.1489884959931764,0.0012686332180389392,0.0011608582525074601
2015-05-27,3.156,3.156,1.1493054029836278,0.00031690699045139326,0.00020913202491991417
2015-05-28,3.158,3.158,1.1499389158334503,0.0006335128498224929,0.0005257378842910138
2015-05-29,3.158,3.158,1.1499389158334503,0.0,-0.00010777496553147908
2015-06-01,3.158,3.158,1.1499389158334503,0.0,-0.00010777496553147908
2015-06-02,3.157,3.157,1.1496222095758546,-0.00031670625759572246,-0.00042448122312720155
2015-06-03,3.154,3.154,1.1486714885408467,-0.0009507210350079287,-0.0010584960005394078
2015-06-04,3.149,3.149,1.1470849421188876,-0.0015865464219591008,-0.00169432138749058
2015-06-05,3.153,3.153,1.1483543805629237,0.0012694384440361528,0.0011616634785046737
2015-06-08,3.154,3.154,1.1486714885408467,0.000317107977922948,0.0002093330123914689
2015-06-09,3.153,3.153,1.1483543805629237,-0.000317107977922948,-0.00042488294345442707
2015-06-10,3.154,3.154,1.1486714885408467,0.000317107977922948,0.0002093330123914689
2015-06-11,3.155,3.155,1.1489884959931764,0.000317007452329765,0.00020923248679828593
2015-06-12,3.156,3.156,1.1493054029836278,0.00031690699045139326,0.00020913202491991417
2015-06-15,3.158,3.158,1.1499389158334503,0.0006335128498224929,0.0005257378842910138
2015-06-16,3.162,3.162,1.1512047387872804,0.0012658229538300425,0.0011580479882985634
2015-06-17,3.165,3.165,1.1521530555961395,0.0009483168088590954,0.0008405418433276163
2015-06-18,3.163,3.163,1.1515209443235117,-0.0006321112726277445,-0.0007398862381592236
2015-06-19,3.167,3.167,1.1527847675565026,0.0012638232329909016,0.0011560482674594225
2015-06-22,3.174,3.174,1.1549926221042173,0.0022078545477146605,0.0021000795821831814
2015-06-23,3.18,3.18,1.1568811967920856,0.001888574687868294,0.001780799722336815
2015-06-24,3.177,3.177,1.155937355287379,-0.0009438415047064996,-0.0010516164702379788
2015-06-25,3.17,3.17,1.1537315878891892,-0.002205767398189895,-0.0023135423637213742
2015-06-26,3.173,3.173,1.1546775126010584,0.0009459247118692726,0.0008381497463377935
2015-06-30,3.179,3.179,1.1565666819286655,0.0018891693276070765,0.0017813943620755973
2015-07-01,3.179,3.179,1.1565666819286655,0.0,-0.00010777496553147908
2015-07-02,3.175,3.175,1.155307632344655,-0.0012590495840105742,-0.0013668245495420533
2015-07-03,3.174,3.174,1.1549926221042173,-0.00031501024043767423,-0.0004227852059691533
2015-07-06,3.178,3.178,1.1562520681145243,0.0012594460103070304,0.0011516710447755513
2015-07-07,3.182,3.182,1.157509929915595,0.001257861801070792,0.001150086835539313
2015-07-08,3.187,3.187,1.1590800354351993,0.0015701055196042368,0.0014623305540727577
2015-07-09,3.182,3.182,1.157509929915595,-0.0015701055196042368,-0.001677880485135716
2015-07-10,3.179,3.179,1.1565666819286655,-0.000943247986929574,-0.0010510229524610532
2015-07-13,3.178,3.178,1.1562520681145243,-0.00031461381414121803,-0.0004223887796726971
2015-07-14,3.179,3.179,1.1565666819286655,0.00031461381414121803,0.00020683884860973894
2015-07-15,3.182,3.182,1.157509929915595,0.000943247986929574,0.0008354730213980949
2015-07-16,3.179,3.179,1.1565666819286655,-0.000943247986929574,-0.0010510229524610532
2015-07-17,3.182,3.182,1.157509929915595,0.000943247986929574,0.0008354730213980949
2015-07-20,3.186,3.186,1.1587662114878567,0.0012562815722616527,0.0011485066067301736
2015-07-21,3.182,3.182,1.157509929915595,-0.0012562815722616527,-0.0013640565377931319
2015-07-22,3.187,3.187,1.1590800354351993,0.0015701055196042368,0.0014623305540727577
2015-07-23,3.191,3.191,1.1603343472961065,0.0012543118609071868,0.0011465368953757077
2015-07-24,3.191,3.191,1.1603343472961065,0.0,-0.00010777496553147908
2015-07-30,3.193,3.193,1.160960913732645,0.0006265664365385781,0.000518791471007099
2015-07-31,3.192,3.192,1.1606476795875624,-0.0003132341450826637,-0.00042100911061414276
2015-08-03,3.193,3.193,1.160960913732645,0.0003132341450826637,0.0002054591795511846
2015-08-04,3.194,3.194,1.1612740497928207,0.0003131360601755784,0.0002053610946440993
2015-08-05,3.202,3.202,1.1637756145745228,0.002501564781702159,0.00239378981617068
2015-08-06,3.205,3.205,1.1647120903726333,0.0009364757981105143,0.0008287008325790352
2015-08-07,3.203,3.203,1.164087870627021,-0.0006242197456123311,-0.0007319947111438102
2015-08-10,3.201,3.201,1.163463260987726,-0.000624609639295004,-0.0007323846048264832
2015-08-11,3.216,3.216,1.16813835131672,0.004675090328994047,0.004567315363462568
2015-08-12,3.229,3.229,1.1721724917761382,0.0040341404594181896,0.00392636549388671
2015-08-13,3.233,3.233,1.173410498743296,0.001238006967157812,0.0011302320016263329
2015-08-14,3.239,3.239,1.1752646401891922,0.0018541414458961292,0.00174636648036465
2015-08-17,3.245,3.245,1.1771153501560534,0.0018507099668612081,0.001742935001329729
2015-08-18,3.249,3.249,1.1783472566869633,0.0012319065309098765,0.0011241315653783973
2015-08-19,3.254,3.254,1.179885008796846,0.0015377521098827174,0.0014299771443512382
2015-08-20,3.265,3.265,1.1832597627283945,0.003374753931548513,0.003266978966017034
2015-08-21,3.274,3.274,1.1860124789489432,0.0027527162205487343,0.002644941255017255
2015-08-24,3.279,3.279,1.1875384978625112,0.0015260189135679614,0.0014182439480364822
2015-08-25,3.281,3.281,1.1881482539789647,0.0006097561164535303,0.0005019811509220512
2015-08-26,3.305,3.305,1.1954364733036495,0.007288219324684819,0.00718044435915334
