date,rate,rate_interpolated,log_rate,diff,Wt,scaled_Wt,e_t,scaled_Wt_bin
2015-01-05,1.1918,1.1918,0.1754647693307414,-0.008106006863645,-0.0080488251468108,-0.8048825146810801,-1,"(-inf, -0.5]"
2015-01-06,1.1936,1.1936,0.1769739504673593,0.0015091811366178,0.0015663628534521,0.15663628534520999,0,"(-0.5, 0.5]"
2015-01-07,1.182,1.182,0.1672079189839064,-0.0097660314834529,-0.0097088497666187,-0.9708849766618699,-1,"(-inf, -0.5]"
2015-01-08,1.1811,1.1811,0.1664462076356645,-0.0007617113482419,-0.0007045296314076,-0.07045296314076,0,"(-0.5, 0.5]"
2015-01-09,1.183,1.183,0.1680535849962497,0.0016073773605852,0.0016645590774194,0.16645590774194,0,"(-0.5, 0.5]"
2015-01-12,1.1832,1.1832,0.168222632414453,0.0001690474182032,0.0002262291350374,0.022622913503740003,0,"(-0.5, 0.5]"
2015-01-13,1.1779,1.1779,0.1637331919826017,-0.0044894404318512,-0.004432258715017,-0.4432258715017,0,"(-0.5, 0.5]"
2015-01-14,1.1806,1.1806,0.166022783824452,0.0022895918418502,0.0023467735586845,0.23467735586845,0,"(-0.5, 0.5]"
2015-01-15,1.1598,1.1598,0.1482475764602031,-0.0177752073642488,-0.0177180256474146,-1.77180256474146,-1,"(-inf, -0.5]"
2015-01-16,1.1517,1.1517,0.1412391116927246,-0.0070084647674784,-0.0069512830506442,-0.6951283050644199,-1,"(-inf, -0.5]"
2015-01-19,,1.1538,0.1430608428406519,0.0018217311479273,0.0018789128647615,0.18789128647615,0,"(-0.5, 0.5]"
2015-01-20,1.1559,1.1559,0.1448792613180844,0.0018184184774325,0.0018756001942667,0.18756001942667,0,"(-0.5, 0.5]"
2015-01-21,1.1584,1.1584,0.1470397426493149,0.0021604813312304,0.0022176630480647,0.22176630480647003,0,"(-0.5, 0.5]"
2015-01-22,1.1414,1.1414,0.1322555791204706,-0.0147841635288443,-0.01472698181201,-1.4726981812009998,-1,"(-inf, -0.5]"
2015-01-23,1.1279,1.1279,0.1203574966637339,-0.0118980824567366,-0.0118409007399024,-1.18409007399024,-1,"(-inf, -0.5]"
2015-01-26,1.129,1.129,0.1213322851675249,0.0009747885037909,0.0010319702206251,0.10319702206251,0,"(-0.5, 0.5]"
2015-01-27,1.137,1.137,0.128393214768399,0.007060929600874,0.0071181113177082,0.71181113177082,1,"(0.5, inf)"
2015-01-28,1.1342,1.1342,0.1259275565977906,-0.0024656581706083,-0.002408476453774,-0.24084764537739997,0,"(-0.5, 0.5]"
2015-01-29,1.1308,1.1308,0.1229253468372982,-0.0030022097604924,-0.0029450280436582,-0.29450280436582,0,"(-0.5, 0.5]"
2015-01-30,1.129,1.129,0.1213322851675249,-0.0015930616697732,-0.001535879952939,-0.1535879952939,0,"(-0.5, 0.5]"
2015-02-02,1.1337,1.1337,0.1254866200414158,0.0041543348738909,0.0042115165907251,0.42115165907251,0,"(-0.5, 0.5]"
2015-02-03,1.1462,1.1462,0.1364521231355001,0.0109655030940842,0.0110226848109184,1.10226848109184,1,"(0.5, inf)"
2015-02-04,1.1418,1.1418,0.1326059645480217,-0.0038461585874784,-0.0037889768706441,-0.37889768706441,0,"(-0.5, 0.5]"
2015-02-05,1.1432,1.1432,0.1338313476335206,0.0012253830854988,0.0012825648023331,0.12825648023331002,0,"(-0.5, 0.5]"
2015-02-06,1.133,1.133,0.1248689820458692,-0.0089623655876513,-0.008905183870817,-0.8905183870817001,-1,"(-inf, -0.5]"
2015-02-09,1.1316,1.1316,0.123632560445275,-0.0012364216005942,-0.00117923988376,-0.117923988376,0,"(-0.5, 0.5]"
2015-02-10,1.1316,1.1316,0.123632560445275,0.0,5.718171683422293e-05,0.005718171683422293,0,"(-0.5, 0.5]"
2015-02-11,1.13,1.13,0.1222176327242491,-0.0014149277210259,-0.0013577460041916,-0.13577460041915998,0,"(-0.5, 0.5]"
2015-02-12,1.141,1.141,0.1319050708799386,0.0096874381556894,0.0097446198725237,0.97446198725237,1,"(0.5, inf)"
2015-02-13,1.1408,1.1408,0.1317297706778944,-0.0001753002020441,-0.0001181184852099,-0.011811848520990001,0,"(-0.5, 0.5]"
2015-02-16,,1.14015,0.1311598326980221,-0.0005699379798723,-0.0005127562630381,-0.05127562630381,0,"(-0.5, 0.5]"
2015-02-17,1.1395,1.1395,0.1305895697036018,-0.0005702629944202,-0.000513081277586,-0.0513081277586,0,"(-0.5, 0.5]"
2015-02-18,1.1342,1.1342,0.1259275565977906,-0.0046620131058111,-0.0046048313889769,-0.46048313889769005,0,"(-0.5, 0.5]"
2015-02-19,1.1392,1.1392,0.1303262616755742,0.0043987050777835,0.0044558867946178,0.44558867946178005,0,"(-0.5, 0.5]"
2015-02-20,1.1372,1.1372,0.1285691007947076,-0.0017571608808666,-0.0016999791640323,-0.16999791640323,0,"(-0.5, 0.5]"
2015-02-23,1.1346,1.1346,0.1262801659103298,-0.0022889348843778,-0.0022317531675436,-0.22317531675436,0,"(-0.5, 0.5]"
2015-02-24,1.1307,1.1307,0.1228369099590624,-0.0034432559512673,-0.0033860742344331,-0.33860742344330996,0,"(-0.5, 0.5]"
2015-02-25,1.1363,1.1363,0.1277773699418264,0.004940459982764,0.0049976416995982,0.49976416995982004,0,"(-0.5, 0.5]"
2015-02-26,1.1212,1.1212,0.1143995403084961,-0.0133778296333302,-0.013320647916496,-1.3320647916496,-1,"(-inf, -0.5]"
