date,log_m1_daily,m1_daily,m1_rebased_2015m1_100
2015-08-13,15.673650975456825,6411802.402807224,107.40079964176547
2015-08-14,15.673689653807077,6412050.405542446,107.40495380784903
2015-08-15,15.673728332157332,6412298.417870202,107.40910813461217
2015-08-16,15.673767010507584,6412546.439790839,107.41326262206074
2015-08-17,15.673805688857838,6412794.471304753,107.41741727020133
2015-08-18,15.67384436720809,6413042.51241229,107.42157207903978
2015-08-19,15.673883045558343,6413290.563113834,107.42572704858249
2015-08-20,15.673921723908597,6413538.623409767,107.42988217883584
2015-08-21,15.67396040225885,6413786.693300436,107.43403746980573
2015-08-22,15.673999080609104,6414034.772786236,107.43819292149868
2015-08-23,15.674037758959356,6414282.861867517,107.44234853392058
2015-08-24,15.674076437309608,6414530.960544659,107.44650430707783
2015-08-25,15.674115115659863,6414779.068818046,107.45066024097683
2015-08-26,15.674153794010115,6415027.1866880255,107.45481633562339
2015-08-27,15.674192472360367,6415275.31415498,107.45897259102395
2015-08-28,15.674231150710622,6415523.451219293,107.46312900718493
2015-08-29,15.674269829060874,6415771.5978813125,107.46728558411213
2015-08-30,15.674308507411128,6416019.754141433,107.4714423218122
2015-08-31,15.67434718576138,6416267.920000002,107.4755992202909
2015-09-01,15.674461921860638,6417004.139787622,107.48793125876233
2015-09-02,15.674576657959898,6417740.444051087,107.5002647122451
2015-09-03,15.674691394059156,6418476.832800065,107.5125995809012
2015-09-04,15.674806130158414,6419213.306044264,107.5249358648932
2015-09-05,15.674920866257674,6419949.863793389,107.53727356438372
2015-09-06,15.675035602356932,6420686.506057114,107.54961267953477
2015-09-07,15.675150338456191,6421423.232845159,107.56195321050916
2015-09-08,15.67526507455545,6422160.0441672,107.574295157469
2015-09-09,15.675379810654707,6422896.940032949,107.58663852057691
2015-09-10,15.675494546753967,6423633.920452116,107.5989832999956
2015-09-11,15.675609282853225,6424370.985434381,107.61132949588719
2015-09-12,15.675724018952483,6425108.13498946,107.62367710841443
2015-09-13,15.675838755051743,6425845.369127066,107.63602613773999
2015-09-14,15.675953491151,6426582.687856883,107.64837658402612
2015-09-15,15.676068227250259,6427320.091188628,107.66072844743559
2015-09-16,15.676182963349518,6428057.5791320205,107.6730817281312
2015-09-17,15.676297699448776,6428795.151696746,107.68543642627515
2015-09-18,15.676412435548036,6429532.808892537,107.69779254203047
2015-09-19,15.676527171647294,6430270.550729081,107.71015007555948
2015-09-20,15.676641907746552,6431008.377216103,107.72250902702503
2015-09-21,15.676756643845811,6431746.2883633245,107.73486939658999
2015-09-22,15.67687137994507,6432484.284180439,107.74723118441672
2015-09-23,15.676986116044327,6433222.364677173,107.75959439066813
2015-09-24,15.677100852143587,6433960.529863253,107.77195901550715
2015-09-25,15.677215588242845,6434698.7797483755,107.78432505909623
2015-09-26,15.677330324342105,6435437.114342281,107.79669252159849
2015-09-27,15.677445060441363,6436175.533654666,107.80906140317637
2015-09-28,15.67755979654062,6436914.0376952635,107.8214317039929
2015-09-29,15.67767453263988,6437652.626473806,107.8338034242111
2015-09-30,15.677789268739138,6438391.299999994,107.84617656399345
2015-10-01,15.678222953969362,6441184.14077633,107.89295800138134
2015-10-02,15.678656639199588,6443978.193029151,107.93975973158791
2015-10-03,15.679090324429811,6446773.457283952,107.98658176341537
2015-10-04,15.679524009660037,6449569.934066494,108.03342410567052
2015-10-05,15.67995769489026,6452367.623902725,108.08028676716322
2015-10-06,15.680391380120485,6455166.527318853,108.1271697567077
2015-10-07,15.68082506535071,6457966.644841316,108.1740730831221
2015-10-08,15.681258750580934,6460767.976996745,108.22099675522772
2015-10-09,15.681692435811158,6463570.524312034,108.26794078185027
2015-10-10,15.682126121041383,6466374.287314307,108.31490517181935
2015-10-11,15.682559806271607,6469179.266530879,108.36188993396773
2015-10-12,15.682993491501833,6471985.462489341,108.40889507713285
2015-10-13,15.683427176732057,6474792.87571747,108.45592061015519
2015-10-14,15.68386086196228,6477601.506743303,108.50296654187963
2015-10-15,15.684294547192506,6480411.356095105,108.5500328811549
2015-10-16,15.68472823242273,6483222.424301339,108.59711963683296
2015-10-17,15.685161917652955,6486034.711890743,108.64422681777046
2015-10-18,15.685595602883179,6488848.219392235,108.69135443282704
2015-10-19,15.686029288113403,6491662.947335001,108.73850249086684
2015-10-20,15.686462973343628,6494478.896248453,108.78567100075769
2015-10-21,15.686896658573852,6497296.066662201,108.83285997137087
2015-10-22,15.687330343804078,6500114.459106129,108.8800694115822
2015-10-23,15.687764029034302,6502934.074110305,108.92729933027057
2015-10-24,15.688197714264525,6505754.912205063,108.9745497363193
2015-10-25,15.688631399494751,6508576.973920964,109.02182063861558
2015-10-26,15.689065084724975,6511400.259788768,109.06911204604992
2015-10-27,15.689498769955199,6514224.770339498,109.11642396751715
2015-10-28,15.689932455185424,6517050.506104407,109.16375641191603
2015-10-29,15.690366140415648,6519877.467614946,109.21110938814864
2015-10-30,15.690799825645874,6522705.655402839,109.25848290512164
2015-10-31,15.691233510876097,6525535.0699999975,109.30587697174474
2015-11-01,15.691573592064216,6527754.659118575,109.34305616586761
2015-11-02,15.691913673252335,6529975.003206025,109.3802480060852
2015-11-03,15.692253754440454,6532196.1025191415,109.41745249669896
2015-11-04,15.692593835628573,6534417.957314807,109.45466964201178
2015-11-05,15.692933916816692,6536640.567849991,109.49189944632802
2015-11-06,15.693273998004809,6538863.934381737,109.52914191395331
2015-11-07,15.693614079192928,6541088.057167213,109.5663970491953
2015-11-08,15.693954160381047,6543312.936463639,109.6036648563626
2015-11-09,15.694294241569166,6545538.572528333,109.64094533976538
2015-11-10,15.694634322757285,6547764.965618703,109.67823850371532
2015-11-11,15.694974403945404,6549992.115992242,109.7155443525256
2015-11-12,15.695314485133522,6552220.02390653,109.75286289051081
2015-11-13,15.695654566321641,6554448.6896192385,109.79019412198706
2015-11-14,15.69599464750976,6556678.113388124,109.82753805127186
2015-11-15,15.696334728697877,6558908.295471018,109.86489468268408
2015-11-16,15.696674809885996,6561139.236125877,109.90226402054455
2015-11-17,15.697014891074115,6563370.93561071,109.9396460691751
2015-11-18,15.697354972262234,6565603.394183624,109.97704083289912
2015-11-19,15.697695053450353,6567836.612102813,110.01444831604148
2015-11-20,15.698035134638472,6570070.589626562,110.05186852292861
2015-11-21,15.69837521582659,6572305.327013241,110.08930145788828
2015-11-22,15.69871529701471,6574540.824521311,110.1267471252499
2015-11-23,15.699055378202829,6576777.082409318,110.1642055293442
2015-11-24,15.699395459390947,6579014.100935895,110.20167667450342
2015-11-25,15.699735540579066,6581251.880359768,110.23916056506135
2015-11-26,15.700075621767184,6583490.420939733,110.27665720535293
2015-11-27,15.700415702955302,6585729.722934715,110.3141665997153
2015-11-28,15.700755784143421,6587969.786603688,110.3516887524864
2015-11-29,15.70109586533154,6590210.612205728,110.38922366800585
2015-11-30,15.70143594651966,6592452.199999996,110.42677135061476
2015-12-01,15.701628010236837,6593718.492475371,110.44798236366407
2015-12-02,15.701820073954016,6594985.028182954,110.46919745097084
2015-12-03,15.702012137671193,6596251.807169443,110.49041661331725
2015-12-04,15.702204201388371,6597518.829481579,110.51163985148627
2015-12-05,15.70239626510555,6598786.095166113,110.53286716626096
2015-12-06,15.702588328822728,6600053.604269769,110.55409855842397
2015-12-07,15.702780392539905,6601321.356839314,110.57533402875872
2015-12-08,15.702972456257084,6602589.352921526,110.59657357804873
2015-12-09,15.703164519974262,6603857.592563156,110.61781720707711
2015-12-10,15.70335658369144,6605126.075810999,110.63906491662767
2015-12-11,15.703548647408619,6606394.802711859,110.66031670748444
2015-12-12,15.703740711125796,6607663.773312515,110.68157258043097
2015-12-13,15.703932774842974,6608932.987659788,110.70283253625155
2015-12-14,15.704124838560153,6610202.445800508,110.72409657573058
2015-12-15,15.70431690227733,6611472.147781483,110.74536469965213
2015-12-16,15.704508965994508,6612742.09364956,110.76663690880093
2015-12-17,15.704701029711686,6614012.283451584,110.78791320396162
2015-12-18,15.704893093428865,6615282.717234425,110.80919358591932
2015-12-19,15.705085157146042,6616553.395044924,110.83047805545863
2015-12-20,15.70527722086322,6617824.316929963,110.85176661336487
2015-12-21,15.7054692845804,6619095.482936439,110.87305926042355
2015-12-22,15.705661348297577,6620366.893111218,110.89435599741971
2015-12-23,15.705853412014754,6621638.547501213,110.91565682513915
2015-12-24,15.706045475731933,6622910.4461533455,110.93696174436786
2015-12-25,15.706237539449111,6624182.5891145095,110.95827075589135
2015-12-26,15.706429603166288,6625454.976431645,110.97958386049585
2015-12-27,15.706621666883468,6626727.6081517,111.00090105896778
2015-12-28,15.706813730600645,6628000.484321596,111.02222235209307
2015-12-29,15.707005794317823,6629273.604988299,111.04354774065848
2015-12-30,15.707197858035002,6630546.970198785,111.0648772254508
2015-12-31,15.70738992175218,6631820.580000003,111.08621080725653
2016-01-01,15.707555906754678,6632921.454117311,111.10465098258884
2016-01-02,15.707721891757176,6634022.510978377,111.1230942189677
2016-01-03,15.707887876759674,6635123.7506135395,111.1415405169013
