date,log_ip_daily_sa,ip_daily_sa,ip_rebased_2015m1_100,log_ip_rebased_2015m1_100
2015-01-01,4.815796071168541,123.44504424580828,100.0,4.605170185988092
2015-01-02,4.815576106599637,123.41789369605634,99.97800596215278,4.604950221419187
2015-01-03,4.8153561420307325,123.39074911780658,99.95601676168256,4.604730256850282
2015-01-04,4.815136177461828,123.36361050974564,99.93403239752543,4.604510292281378
2015-01-05,4.814916212892924,123.33647787056043,99.91205286861766,4.604290327712474
2015-01-06,4.81469624832402,123.30935119893816,99.89007817389582,4.60407036314357
2015-01-07,4.814476283755115,123.2822304935663,99.86810831229663,4.603850398574666
2015-01-08,4.814256319186211,123.25511575313264,99.84614328275711,4.603630434005761
2015-01-09,4.814036354617306,123.22800697632516,99.82418308421443,4.603410469436856
2015-01-10,4.813816390048402,123.20090416183241,99.80222771560621,4.6031905048679524
2015-01-11,4.813596425479497,123.17380730834294,99.78027717587007,4.602970540299048
2015-01-12,4.813376460910593,123.14671641454568,99.75833146394393,4.602750575730143
2015-01-13,4.813156496341689,123.11963147912985,99.73639057876599,4.602530611161239
2015-01-14,4.812936531772785,123.09255250078498,99.71445451927467,4.602310646592335
2015-01-15,4.81271656720388,123.06547947820084,99.69252328440854,4.60209068202343
2015-01-16,4.812496602634976,123.03841241006755,99.67059687310652,4.601870717454526
2015-01-17,4.812276638066072,123.01135129507546,99.6486752843077,4.601650752885622
2015-01-18,4.8120566734971675,122.98429613191524,99.62675851695141,4.601430788316717
2015-01-19,4.811836708928263,122.95724691927785,99.60484656997724,4.601210823747813
2015-01-20,4.811616744359359,122.93020365585453,99.58293944232499,4.60099085917891
2015-01-21,4.811396779790455,122.9031663403368,99.56103713293466,4.6007708946100045
2015-01-22,4.81117681522155,122.87613497141648,99.53913964074657,4.600550930041101
2015-01-23,4.810956850652646,122.84910954778566,99.51724696470117,4.600330965472196
2015-01-24,4.810736886083742,122.82209006813675,99.49535910373925,4.600111000903293
2015-01-25,4.810516921514837,122.79507653116231,99.47347605680166,4.5998910363343875
2015-01-26,4.810296956945932,122.76806893555552,99.45159782282977,4.599671071765482
2015-01-27,4.810076992377028,122.74106728000953,99.42972440076497,4.599451107196579
2015-01-28,4.809857027808124,122.71407156321789,99.40785578954888,4.599231142627675
2015-01-29,4.80963706323922,122.6870817838744,99.38599198812341,4.59901117805877
2015-01-30,4.809417098670315,122.66009794067321,99.3641329954307,4.598791213489865
2015-01-31,4.809197134101411,122.6331200323087,99.34227881041312,4.598571248920961
2015-02-01,4.808977169532507,122.60614805747556,99.32042943201327,4.598351284352057
2015-02-02,4.809829005184819,122.71063284119754,99.40507015968308,4.599203120004369
2015-02-03,4.810680840837131,122.8152066667024,99.48978301805967,4.600054955656682
2015-02-04,4.811532676489444,122.91986960987164,99.57456806861286,4.600906791308994
2015-02-05,4.812384512141755,123.024621746651,99.6594253728646,4.601758626961305
2015-02-06,4.813236347794068,123.12946315305136,99.74435499238955,4.602610462613618
2015-02-07,4.81408818344638,123.23439390514794,99.82935698881448,4.60346229826593
2015-02-08,4.814940019098692,123.33941407908124,99.91443142381908,4.604314133918243
2015-02-09,4.815791854751004,123.44452375105618,99.99957835913521,4.605165969570554
2015-02-10,4.816643690403317,123.54972299734312,100.08479785654774,4.6060178052228675
2015-02-11,4.8174955260556285,123.65501189427692,100.17008997789377,4.606869640875179
2015-02-12,4.818347361707941,123.76039051825795,100.2554547850635,4.607721476527492
2015-02-13,4.819199197360253,123.86585894575126,100.34089233999953,4.608573312179804
2015-02-14,4.820051033012565,123.97141725328748,100.42640270469754,4.609425147832115
2015-02-15,4.820902868664877,124.07706551746205,100.51198594120577,4.610276983484428
2015-02-16,4.82175470431719,124.1828038149361,100.5976421116256,4.61112881913674
2015-02-17,4.822606539969502,124.28863222243577,100.68337127811118,4.611980654789053
2015-02-18,4.823458375621814,124.39455081675258,100.7691735028695,4.612832490441364
2015-02-19,4.824310211274127,124.50055967474384,100.85504884816095,4.613684326093677
2015-02-20,4.8251620469264385,124.6066588733319,100.94099737629854,4.614536161745989
2015-02-21,4.826013882578751,124.71284848950509,101.02701914964874,4.615387997398301
2015-02-22,4.826865718231063,124.81912860031694,101.11311423063087,4.616239833050613
2015-02-23,4.827717553883375,124.92549928288709,101.19928268171776,4.617091668702925
2015-02-24,4.828569389535687,125.0319606144004,101.28552456543514,4.617943504355238
2015-02-25,4.829421225188,125.13851267210804,101.37183994436234,4.6187953400075505
2015-02-26,4.8302730608403115,125.24515553332647,101.45822888113172,4.619647175659862
2015-02-27,4.831124896492624,125.35188927543857,101.54469143842933,4.620499011312175
2015-02-28,4.831976732144936,125.45871397589266,101.6312276789943,4.621350846964487
2015-03-01,4.8328285677972485,125.56562971220356,101.71783766561961,4.622202682616799
2015-03-02,4.836618877311698,126.04246541977975,102.10411133945514,4.625992992131248
2015-03-03,4.840409186826147,126.52111191182411,102.49185188827074,4.6297833016456975
2015-03-04,4.844199496340596,127.00157606479395,102.88106488252681,4.633573611160146
2015-03-05,4.847989805855046,127.48386478126008,103.27175591383771,4.637363920674596
2015-03-06,4.851780115369495,127.96798499000548,103.66393059505164,4.641154230189045
2015-03-07,4.855570424883944,128.4539436461255,104.0575945603319,4.644944539703495
2015-03-08,4.859360734398393,128.94174773112744,104.45275346523748,4.648734849217944
2015-03-09,4.8631510439128425,129.43140425303076,104.84941298680425,4.652525158732392
2015-03-10,4.866941353427292,129.92292024646807,105.24757882362681,4.6563154682468415
2015-03-11,4.870731662941742,130.41630277278594,105.64725669594013,4.6601057777612915
