date,IP_EU
2015-01-01,99.6916923589701
2015-01-02,99.6916923589701
2015-01-03,99.6916923589701
2015-01-04,99.6916923589701
2015-01-05,99.6916923589701
2015-01-06,99.6916923589701
2015-01-07,99.6916923589701
2015-01-08,99.6916923589701
2015-01-09,99.6916923589701
2015-01-10,99.6916923589701
2015-01-11,99.6916923589701
2015-01-12,99.6916923589701
2015-01-13,99.6916923589701
2015-01-14,99.6916923589701
2015-01-15,99.6916923589701
2015-01-16,99.6916923589701
2015-01-17,99.6916923589701
2015-01-18,99.6916923589701
2015-01-19,99.6916923589701
2015-01-20,99.6916923589701
2015-01-21,99.6916923589701
2015-01-22,99.6916923589701
2015-01-23,99.6916923589701
2015-01-24,99.6916923589701
2015-01-25,99.6916923589701
2015-01-26,99.6916923589701
2015-01-27,99.6916923589701
2015-01-28,99.6916923589701
2015-01-29,99.6916923589701
2015-01-30,99.6916923589701
2015-01-31,99.6916923589701
2015-02-01,99.6916923589701
2015-02-02,99.6916923589701
2015-02-03,99.6916923589701
2015-02-04,99.6916923589701
2015-02-05,99.6916923589701
2015-02-06,99.6916923589701
2015-02-07,99.6916923589701
2015-02-08,99.6916923589701
2015-02-09,99.6916923589701
2015-02-10,99.6916923589701
2015-02-11,99.6916923589701
2015-02-12,99.6916923589701
2015-02-13,99.6916923589701
2015-02-14,99.6916923589701
2015-02-15,99.6916923589701
2015-02-16,99.6916923589701
2015-02-17,99.6916923589701
2015-02-18,99.6916923589701
2015-02-19,99.6916923589701
2015-02-20,99.6916923589701
2015-02-21,99.6916923589701
2015-02-22,99.6916923589701
2015-02-23,99.6916923589701
2015-02-24,99.6916923589701
2015-02-25,99.6916923589701
2015-02-26,99.6916923589701
2015-02-27,99.6916923589701
2015-02-28,99.6916923589701
2015-03-01,99.6916923589701
2015-03-02,99.72287255631926
2015-03-03,99.75405275366842
2015-03-04,99.78523295101758
2015-03-05,99.81641314836673
2015-03-06,99.8475933457159
2015-03-07,99.87877354306505
2015-03-08,99.90995374041421
2015-03-09,99.94113393776337
2015-03-10,99.97231413511253
2015-03-11,100.00349433246168
2015-03-12,100.03467452981084
2015-03-13,100.06585472716
2015-03-14,100.09703492450916
2015-03-15,100.12821512185832
2015-03-16,100.15939531920748
2015-03-17,100.19057551655662
2015-03-18,100.22175571390578
2015-03-19,100.25293591125494
2015-03-20,100.2841161086041
2015-03-21,100.31529630595325
2015-03-22,100.34647650330241
2015-03-23,100.37765670065157
2015-03-24,100.40883689800073
2015-03-25,100.44001709534989
2015-03-26,100.47119729269905
2015-03-27,100.5023774900482
2015-03-28,100.53355768739736
2015-03-29,100.56473788474652
2015-03-30,100.59591808209568
2015-03-31,100.62709827944484
2015-04-01,100.658278476794
2015-04-02,100.658278476794
2015-04-03,100.658278476794
2015-04-04,100.658278476794
2015-04-05,100.658278476794
2015-04-06,100.658278476794
2015-04-07,100.658278476794
2015-04-08,100.658278476794
2015-04-09,100.658278476794
2015-04-10,100.658278476794
2015-04-11,100.658278476794
2015-04-12,100.658278476794
2015-04-13,100.658278476794
2015-04-14,100.658278476794
2015-04-15,100.658278476794
2015-04-16,100.658278476794
2015-04-17,100.658278476794
2015-04-18,100.658278476794
2015-04-19,100.658278476794
2015-04-20,100.658278476794
2015-04-21,100.658278476794
2015-04-22,100.658278476794
2015-04-23,100.658278476794
2015-04-24,100.658278476794
2015-04-25,100.658278476794
2015-04-26,100.658278476794
2015-04-27,100.658278476794
2015-04-28,100.658278476794
2015-04-29,100.658278476794
2015-04-30,100.658278476794
2015-05-01,100.658278476794
2015-05-02,100.658278476794
2015-05-03,100.658278476794
2015-05-04,100.658278476794
2015-05-05,100.658278476794
2015-05-06,100.658278476794
2015-05-07,100.658278476794
2015-05-08,100.658278476794
2015-05-09,100.658278476794
2015-05-10,100.658278476794
2015-05-11,100.658278476794
2015-05-12,100.658278476794
2015-05-13,100.658278476794
2015-05-14,100.658278476794
2015-05-15,100.658278476794
2015-05-16,100.658278476794
2015-05-17,100.658278476794
2015-05-18,100.658278476794
2015-05-19,100.658278476794
2015-05-20,100.658278476794
2015-05-21,100.658278476794
2015-05-22,100.658278476794
2015-05-23,100.658278476794
2015-05-24,100.658278476794
2015-05-25,100.658278476794
2015-05-26,100.658278476794
2015-05-27,100.658278476794
2015-05-28,100.658278476794
2015-05-29,100.658278476794
2015-05-30,100.658278476794
2015-05-31,100.658278476794
2015-06-01,100.658278476794
2015-06-02,100.54828764269682
2015-06-03,100.43829680859966
2015-06-04,100.32830597450248
2015-06-05,100.21831514040531
2015-06-06,100.10832430630815
2015-06-07,99.99833347221097
2015-06-08,99.88834263811381
2015-06-09,99.77835180401664
2015-06-10,99.66836096991946
2015-06-11,99.5583701358223
2015-06-12,99.44837930172513
2015-06-13,99.33838846762795
2015-06-14,99.22839763353079
2015-06-15,99.11840679943361
2015-06-16,99.00841596533644
2015-06-17,98.89842513123928
2015-06-18,98.7884342971421
2015-06-19,98.67844346304494
2015-06-20,98.56845262894777
2015-06-21,98.45846179485059
2015-06-22,98.34847096075343
2015-06-23,98.23848012665626
2015-06-24,98.12848929255908
2015-06-25,98.01849845846192
2015-06-26,97.90850762436474
2015-06-27,97.79851679026758
2015-06-28,97.68852595617041
2015-06-29,97.57853512207323
2015-06-30,97.46854428797607
2015-07-01,97.3585534538789
2015-07-02,97.3585534538789
2015-07-03,97.3585534538789
2015-07-04,97.3585534538789
2015-07-05,97.3585534538789
2015-07-06,97.3585534538789
2015-07-07,97.3585534538789
2015-07-08,97.3585534538789
2015-07-09,97.3585534538789
2015-07-10,97.3585534538789
2015-07-11,97.3585534538789
2015-07-12,97.3585534538789
2015-07-13,97.3585534538789
2015-07-14,97.3585534538789
2015-07-15,97.3585534538789
2015-07-16,97.3585534538789
