date,log_m1_daily,m1_daily,m1_rebased_2015m1_100
2023-04-17,11.772964093774815,129698.01864922946,196.73247350409724
2023-04-18,11.77274281897653,129669.32292125265,196.6889463816117
2023-04-19,11.772521544178247,129640.63354221503,196.6454288895162
2023-04-20,11.772300269379961,129611.95051071144,196.60192102567936
2023-04-21,11.772078994581678,129583.27382533795,196.55842278797164
2023-04-22,11.771857719783394,129554.60348469023,196.51493417426286
2023-04-23,11.77163644498511,129525.9394873643,196.4714551824234
2023-04-24,11.771415170186826,129497.28183195714,196.42798581032508
2023-04-25,11.77119389538854,129468.63051706515,196.38452605583885
2023-04-26,11.770972620590257,129439.98554128595,196.34107591683753
2023-04-27,11.770751345791973,129411.34690321676,196.29763539119327
2023-04-28,11.770530070993688,129382.71460145515,196.25420447677882
2023-04-29,11.770308796195405,129354.08863459967,196.2107831714684
2023-04-30,11.77008752139712,129325.46900124825,196.16737147313526
2023-05-01,11.769866246598836,129296.85570000006,196.12396937965457
2023-05-02,11.769682138349177,129273.05327338951,196.08786466262603
2023-05-03,11.769498030099518,129249.25522859867,196.05176659216187
2023-05-04,11.76931392184986,129225.46156482115,196.0156751670389
2023-05-05,11.769129813600202,129201.67228124995,195.979590386033
2023-05-06,11.768945705350543,129177.88737707895,195.9435122479215
2023-05-07,11.768761597100884,129154.10685150196,195.90744075148143
2023-05-08,11.768577488851225,129130.3307037129,195.87137589549013
2023-05-09,11.768393380601568,129106.55893290609,195.83531767872552
2023-05-10,11.768209272351909,129082.7915382753,195.79926609996463
2023-05-11,11.76802516410225,129059.02851901516,195.76322115798587
2023-05-12,11.76784105585259,129035.26987432019,195.7271828515674
2023-05-13,11.767656947602932,129011.51560338508,195.69115117948775
2023-05-14,11.767472839353275,128987.76570540488,195.65512614052588
2023-05-15,11.767288731103616,128964.0201795741,195.61910773346
2023-05-16,11.767104622853957,128940.27902508811,195.58309595706962
2023-05-17,11.766920514604298,128916.54224114219,195.5470908101341
2023-05-18,11.766736406354639,128892.80982693174,195.51109229143296
2023-05-19,11.76655229810498,128869.08178165233,195.475100399746
2023-05-20,11.766368189855323,128845.35810449993,195.43911513385365
2023-05-21,11.766184081605664,128821.63879466994,195.40313649253542
2023-05-22,11.765999973356005,128797.92385135859,195.36716447457215
2023-05-23,11.765815865106346,128774.21327376206,195.33119907874453
2023-05-24,11.765631756856687,128750.50706107663,195.29524030383348
2023-05-25,11.76544764860703,128726.80521249902,195.2592881486205
2023-05-26,11.76526354035737,128703.10772722536,195.22334261188627
2023-05-27,11.765079432107711,128679.41460445263,195.1874036924127
2023-05-28,11.764895323858052,128655.72584337775,195.15147138898166
2023-05-29,11.764711215608394,128632.04144319774,195.11554570037515
2023-05-30,11.764527107358736,128608.36140311006,195.07962662537582
2023-05-31,11.764342999109077,128584.68572231158,195.04371416276544
2023-06-01,11.764158890859418,128561.01440000001,195.00780831132712
2023-06-02,11.76447276992701,128601.37334491126,195.0690267874696
2023-06-03,11.764786648994603,128641.74495963879,195.13026448182623
2023-06-04,11.765100528062195,128682.12924816002,195.19152140043013
2023-06-05,11.765414407129787,128722.52621445362,195.2527975493164
2023-06-06,11.76572828619738,128762.9358624995,195.31409293452185
2023-06-07,11.766042165264974,128803.35819627905,195.37540756208583
2023-06-08,11.766356044332566,128843.7932197742,195.43674143804822
2023-06-09,11.766669923400158,128884.24093696888,195.49809456845205
2023-06-10,11.76698380246775,128924.701351848,195.55946695934182
2023-06-11,11.767297681535343,128965.17446839769,195.62085861676394
2023-06-12,11.767611560602935,129005.66029060537,195.6822695467667
2023-06-13,11.767925439670528,129046.15882245974,195.74369975540034
2023-06-14,11.76823931873812,129086.67006795068,195.80514924871696
2023-06-15,11.768553197805712,129127.19403106938,195.86661803277056
2023-06-16,11.768867076873306,129167.73071580847,195.9281061136174
2023-06-17,11.769180955940898,129208.28012616122,195.98961349731462
2023-06-18,11.76949483500849,129248.84226612274,196.05114018992225
2023-06-19,11.769808714076083,129289.41713968923,196.11268619750192
2023-06-20,11.770122593143675,129330.00475085813,196.1742515261171
2023-06-21,11.770436472211268,129370.60510362814,196.2358361818333
2023-06-22,11.77075035127886,129411.21820199922,196.29744017071778
2023-06-23,11.771064230346452,129451.84404997254,196.35906349883976
2023-06-24,11.771378109414044,129492.48265155058,196.4207061722704
2023-06-25,11.771691988481637,129533.13401073708,196.48236819708276
2023-06-26,11.772005867549229,129573.79813153698,196.54404957935176
2023-06-27,11.772319746616823,129614.47501795676,196.60575032515462
2023-06-28,11.772633625684415,129655.16467400345,196.66747044056936
2023-06-29,11.772947504752008,129695.86710368602,196.72920993167705
