date,log_m1_daily,m1_daily,m1_rebased_2015m1_100
2015-01-01,27.846026779388946,1239868918894.6987,100.0
2015-01-02,27.861660578045356,1259405094339.0981,101.57566458410905
2015-01-03,27.90042235438265,1309180329167.9995,105.59022080617115
2015-01-04,27.89651807495703,1304078888549.5,105.17877081006614
2015-01-05,27.90017024100785,1308850308900.0022,105.56360345469406
2015-01-06,27.902695204999254,1312159284564.2993,105.8304845429987
2015-01-07,27.92887215169945,1346961123908.6018,108.63738120876296
2015-01-08,27.923606125466396,1339886634866.2007,108.06679758217219
2015-01-09,27.933952441606426,1353821488476.7983,109.19069490698135
2015-01-10,27.94142244976068,1363972412575.4014,110.0094043644014
2015-01-11,27.99335547897946,1436679234111.8018,115.8734776086292
2015-01-12,27.987183067015923,1427838769581.3977,115.16046154736
2015-01-13,27.98721738252639,1427887767438.3264,115.16441340518804
2015-01-14,27.98725169803685,1427936766976.6653,115.168365398628
2015-01-15,27.987286013547315,1427985768196.4822,115.17231752768538
2015-01-16,27.98732032905778,1428034771097.8298,115.1762697923644
2015-01-17,27.987354644568246,1428083775680.7659,115.18022219266972
2015-01-18,27.987388960078707,1428132781945.343,115.1841747286056
2015-01-19,27.987423275589173,1428181789891.6292,115.18812740017752
2015-01-20,27.987457591099638,1428230799519.6768,115.1920802073897
2015-01-21,27.9874919066101,1428279810829.5383,115.19603315024636
2015-01-22,27.987526222120565,1428328823821.2822,115.19998622875305
2015-01-23,27.98756053763103,1428377838494.9607,115.20393944291396
2015-01-24,27.987594853141495,1428426854850.6316,115.20789279273376
2015-01-25,27.987629168651956,1428475872888.3477,115.2118462782167
2015-01-26,27.98766348416242,1428524892608.1765,115.21579989936825
2015-01-27,27.987697799672887,1428573914010.1711,115.21975365619267
2015-01-28,27.98773211518335,1428622937094.3838,115.22370754869418
2015-01-29,27.987766430693814,1428671961860.8826,115.22766157687825
2015-01-30,27.98780074620428,1428720988309.72,115.23161574074916
2015-01-31,27.987835061714744,1428770016440.954,115.23557004031156
2015-02-01,27.987869377225206,1428819046254.6372,115.23952447556964
2015-02-02,27.98790369273567,1428868077750.8374,115.24347904652896
2015-02-03,27.987938008246136,1428917110929.6074,115.24743375319375
2015-02-04,27.9879723237566,1428966145791.0046,115.2513885955686
2015-02-05,27.988006639267063,1429015182335.082,115.25534357365783
2015-02-06,27.988040954777528,1429064220561.9075,115.2592986874669
2015-02-07,27.988075270287993,1429113260471.5334,115.26325393700003
2015-02-08,27.988109585798455,1429162302064.013,115.2672093222615
2015-02-09,27.98814390130892,1429211345339.4136,115.27116484325674
2015-02-10,27.988178216819385,1429260390297.788,115.27512049999007
2015-02-11,27.98821253232985,1429309436939.194,115.27907629246607
2015-02-12,27.988246847840312,1429358485263.6848,115.28303222068908
2015-02-13,27.988281163350777,1429407535271.3274,115.28698828466449
2015-02-14,27.988315478861242,1429456586962.1753,115.29094448439659
2015-02-15,27.988349794371704,1429505640336.2805,115.29490081988962
2015-02-16,27.98838410988217,1429554695393.7114,115.29885729114906
2015-02-17,27.988418425392634,1429603752134.5205,115.30281389817918
2015-02-18,27.9884527409031,1429652810558.7654,115.30677064098458
2015-02-19,27.98848705641356,1429701870666.4993,115.31072751956958
2015-02-20,27.988521371924026,1429750932457.7896,115.31468453393963
2015-02-21,27.98855568743449,1429799995932.6892,115.31864168409895
2015-02-22,27.988590002944953,1429849061091.2507,115.32259897005184
2015-02-23,27.988624318455418,1429898127933.5422,115.32655639180376
2015-02-24,27.988658633965883,1429947196459.6165,115.33051394935893
2015-02-25,27.98869294947635,1429996266669.531,115.33447164272208
2015-02-26,27.98872726498681,1430045338563.3389,115.33842947189741
2015-02-27,27.988761580497275,1430094412141.1077,115.34238743689038
2015-02-28,27.98879589600774,1430143487402.8901,115.34634553770529
2015-03-01,27.988830211518202,1430192564348.739,115.35030377434636
2015-03-02,27.988864527028667,1430241642978.7227,115.3542621468191
2015-03-03,27.988898842539133,1430290723292.893,115.35822065512771
2015-03-04,27.988933158049598,1430339805291.3086,115.36217929927692
2015-03-05,27.98896747356006,1430388888974.0217,115.36613807927093
2015-03-06,27.989001789070524,1430437974341.1006,115.37009699511525
2015-03-07,27.98903610458099,1430487061392.5977,115.3740560468141
2015-03-08,27.98907042009145,1430536150128.5657,115.37801523437174
2015-03-09,27.989104735601916,1430585240549.073,115.38197455779368
2015-03-10,27.98913905111238,1430634332654.1719,115.38593401708417
2015-03-11,27.989173366622847,1430683426443.9202,115.38989361224783
