date,log_ip_daily_sa,ip_daily_sa,ip_rebased_2015m1_100,log_ip_rebased_2015m1_100
2023-02-15,4.635391436409375,103.06825476764034,100.65776867489906,4.611726334153379
2023-02-16,4.635549862385203,103.08458474999141,100.67371674338692,4.6118847601292075
2023-02-17,4.635708288361032,103.1009173196408,100.68966733866323,4.612043186105035
2023-02-18,4.635866714336861,103.11725247699846,100.70562046112836,4.612201612080865
2023-02-19,4.636025140312689,103.13359022247427,100.7215761111826,4.612360038056692
2023-02-20,4.636183566288517,103.14993055647848,100.7375342892266,4.6125184640325205
2023-02-21,4.636341992264346,103.16627347942114,100.75349499566082,4.612676890008349
2023-02-22,4.636500418240175,103.1826189917124,100.76945823088583,4.612835315984179
2023-02-23,4.6366588442160035,103.19896709376255,100.78542399530231,4.6129937419600076
2023-02-24,4.636817270191832,103.21531778598188,100.80139228931095,4.613152167935836
2023-02-25,4.636975696167661,103.23167106878078,100.81736311331258,4.613310593911665
2023-02-26,4.637134122143489,103.24802694256961,100.8333364677079,4.613469019887493
2023-02-27,4.6372925481193175,103.26438540775906,100.84931235289804,4.613627445863321
2023-02-28,4.637450974095146,103.28074646475963,100.86529076928387,4.613785871839149
2023-03-01,4.637609400070975,103.29711011398196,100.88127171726649,4.613944297814979
2023-03-02,4.637567564392836,103.29278869972585,100.87705136913388,4.61390246213684
2023-03-03,4.637525728714698,103.28846746625527,100.8728311975587,4.613860626458701
2023-03-04,4.63748389303656,103.28414641356272,100.86861120253367,4.613818790780564
2023-03-05,4.637442057358421,103.27982554164048,100.86439138405122,4.613776955102425
2023-03-06,4.6374002216802825,103.27550485048104,100.86017174210401,4.613735119424286
2023-03-07,4.637358386002144,103.27118434007689,100.85595227668472,4.613693283746147
2023-03-08,4.637316550324005,103.26686401042043,100.85173298778594,4.613651448068009
2023-03-09,4.6372747146458675,103.2625438615042,100.84751387540034,4.613609612389871
2023-03-10,4.637232878967729,103.25822389332046,100.8432949395204,4.613567776711732
2023-03-11,4.63719104328959,103.25390410586175,100.83907618013883,4.613525941033594
2023-03-12,4.6371492076114516,103.24958449912049,100.83485759724822,4.613484105355456
2023-03-13,4.637107371933313,103.24526507308912,100.83063919084117,4.613442269677316
2023-03-14,4.637065536255175,103.24094582776019,100.82642096091044,4.613400433999179
2023-03-15,4.6370237005770365,103.23662676312593,100.82220290744841,4.61335859832104
2023-03-16,4.636981864898898,103.2323078791789,100.81798503044786,4.613316762642902
2023-03-17,4.636940029220759,103.22798917591153,100.81376732990132,4.613274926964763
2023-03-18,4.636898193542621,103.22367065331625,100.80954980580145,4.613233091286624
2023-03-19,4.636856357864482,103.21935231138552,100.8053324581409,4.613191255608485
2023-03-20,4.636814522186344,103.21503415011186,100.80111528691234,4.613149419930347
2023-03-21,4.6367726865082055,103.21071616948754,100.79689829210821,4.61310758425221
2023-03-22,4.636730850830067,103.2063983695051,100.79268147372122,4.61306574857407
2023-03-23,4.636689015151928,103.20208075015695,100.78846483174402,4.613023912895932
2023-03-24,4.63664717947379,103.19776331143558,100.7842483661692,4.612982077217794
2023-03-25,4.636605343795652,103.19344605333347,100.78003207698947,4.612940241539656
2023-03-26,4.636563508117513,103.18912897584293,100.77581596419726,4.612898405861516
2023-03-27,4.6365216724393745,103.18481207895648,100.77160002778534,4.612856570183379
2023-03-28,4.636479836761236,103.18049536266655,100.76738426774625,4.612814734505239
2023-03-29,4.636438001083097,103.1761788269656,100.76316868407267,4.6127728988271
2023-03-30,4.6363961654049595,103.17186247184617,100.7589532767573,4.6127310631489635
2023-03-31,4.636354329726821,103.1675462973005,100.75473804579256,4.612689227470825
2023-04-01,4.636312494048682,103.16323030332116,100.75052299117118,4.612647391792686
2023-04-02,4.636206491407454,103.15229530801079,100.73984373565364,4.612541389151458
2023-04-03,4.636100488766226,103.14136147177737,100.72916561210536,4.612435386510229
2023-04-04,4.635994486124996,103.13042879449797,100.71848862040633,4.612329383869
2023-04-05,4.635888483483768,103.1194972760499,100.70781276043672,4.612223381227771
2023-04-06,4.63578248084254,103.10856691631024,100.6971380320765,4.612117378586544
2023-04-07,4.635676478201312,103.09763771515617,100.68646443520568,4.612011375945315
2023-04-08,4.635570475560083,103.08670967246489,100.67579196970438,4.611905373304087
2023-04-09,4.635464472918854,103.07578278811353,100.66512063545257,4.611799370662858
