date,rate_percent,rate_decimal
2022-06-19,-0.2392272727272729,-0.002392272727272729
2022-06-20,-0.2392272727272729,-0.002392272727272729
2022-06-21,-0.2392272727272729,-0.002392272727272729
2022-06-22,-0.2392272727272729,-0.002392272727272729
2022-06-23,-0.2392272727272729,-0.002392272727272729
2022-06-24,-0.2392272727272729,-0.002392272727272729
2022-06-25,-0.2392272727272729,-0.002392272727272729
2022-06-26,-0.2392272727272729,-0.002392272727272729
2022-06-27,-0.2392272727272729,-0.002392272727272729
2022-06-28,-0.2392272727272729,-0.002392272727272729
2022-06-29,-0.2392272727272729,-0.002392272727272729
2022-06-30,-0.2392272727272729,-0.002392272727272729
2022-07-01,0.0366190476190476,0.000366190476190476
2022-07-02,0.0366190476190476,0.000366190476190476
2022-07-03,0.0366190476190476,0.000366190476190476
2022-07-04,0.0366190476190476,0.000366190476190476
2022-07-05,0.0366190476190476,0.000366190476190476
2022-07-06,0.0366190476190476,0.000366190476190476
2022-07-07,0.0366190476190476,0.000366190476190476
2022-07-08,0.0366190476190476,0.000366190476190476
2022-07-09,0.0366190476190476,0.000366190476190476
2022-07-10,0.0366190476190476,0.000366190476190476
2022-07-11,0.0366190476190476,0.000366190476190476
2022-07-12,0.0366190476190476,0.000366190476190476
2022-07-13,0.0366190476190476,0.000366190476190476
2022-07-14,0.0366190476190476,0.000366190476190476
2022-07-15,0.0366190476190476,0.000366190476190476
2022-07-16,0.0366190476190476,0.000366190476190476
2022-07-17,0.0366190476190476,0.000366190476190476
2022-07-18,0.0366190476190476,0.000366190476190476
2022-07-19,0.0366190476190476,0.000366190476190476
2022-07-20,0.0366190476190476,0.000366190476190476
2022-07-21,0.0366190476190476,0.000366190476190476
2022-07-22,0.0366190476190476,0.000366190476190476
2022-07-23,0.0366190476190476,0.000366190476190476
2022-07-24,0.0366190476190476,0.000366190476190476
2022-07-25,0.0366190476190476,0.000366190476190476
2022-07-26,0.0366190476190476,0.000366190476190476
2022-07-27,0.0366190476190476,0.000366190476190476
2022-07-28,0.0366190476190476,0.000366190476190476
2022-07-29,0.0366190476190476,0.000366190476190476
2022-07-30,0.0366190476190476,0.000366190476190476
2022-07-31,0.0366190476190476,0.000366190476190476
2022-08-01,0.3947391304347829,0.00394739130434783
2022-08-02,0.3947391304347829,0.00394739130434783
2022-08-03,0.3947391304347829,0.00394739130434783
2022-08-04,0.3947391304347829,0.00394739130434783
2022-08-05,0.3947391304347829,0.00394739130434783
2022-08-06,0.3947391304347829,0.00394739130434783
2022-08-07,0.3947391304347829,0.00394739130434783
2022-08-08,0.3947391304347829,0.00394739130434783
2022-08-09,0.3947391304347829,0.00394739130434783
2022-08-10,0.3947391304347829,0.00394739130434783
2022-08-11,0.3947391304347829,0.00394739130434783
2022-08-12,0.3947391304347829,0.00394739130434783
2022-08-13,0.3947391304347829,0.00394739130434783
2022-08-14,0.3947391304347829,0.00394739130434783
2022-08-15,0.3947391304347829,0.00394739130434783
2022-08-16,0.3947391304347829,0.00394739130434783
2022-08-17,0.3947391304347829,0.00394739130434783
2022-08-18,0.3947391304347829,0.00394739130434783
2022-08-19,0.3947391304347829,0.00394739130434783
2022-08-20,0.3947391304347829,0.00394739130434783
2022-08-21,0.3947391304347829,0.00394739130434783
2022-08-22,0.3947391304347829,0.00394739130434783
2022-08-23,0.3947391304347829,0.00394739130434783
2022-08-24,0.3947391304347829,0.00394739130434783
2022-08-25,0.3947391304347829,0.00394739130434783
2022-08-26,0.3947391304347829,0.00394739130434783
2022-08-27,0.3947391304347829,0.00394739130434783
2022-08-28,0.3947391304347829,0.00394739130434783
2022-08-29,0.3947391304347829,0.00394739130434783
2022-08-30,0.3947391304347829,0.00394739130434783
2022-08-31,0.3947391304347829,0.00394739130434783
2022-09-01,1.01086363636364,0.010108636363636401
2022-09-02,1.01086363636364,0.010108636363636401
2022-09-03,1.01086363636364,0.010108636363636401
2022-09-04,1.01086363636364,0.010108636363636401
2022-09-05,1.01086363636364,0.010108636363636401
2022-09-06,1.01086363636364,0.010108636363636401
2022-09-07,1.01086363636364,0.010108636363636401
2022-09-08,1.01086363636364,0.010108636363636401
2022-09-09,1.01086363636364,0.010108636363636401
2022-09-10,1.01086363636364,0.010108636363636401
2022-09-11,1.01086363636364,0.010108636363636401
2022-09-12,1.01086363636364,0.010108636363636401
2022-09-13,1.01086363636364,0.010108636363636401
2022-09-14,1.01086363636364,0.010108636363636401
2022-09-15,1.01086363636364,0.010108636363636401
2022-09-16,1.01086363636364,0.010108636363636401
2022-09-17,1.01086363636364,0.010108636363636401
2022-09-18,1.01086363636364,0.010108636363636401
2022-09-19,1.01086363636364,0.010108636363636401
2022-09-20,1.01086363636364,0.010108636363636401
2022-09-21,1.01086363636364,0.010108636363636401
2022-09-22,1.01086363636364,0.010108636363636401
2022-09-23,1.01086363636364,0.010108636363636401
2022-09-24,1.01086363636364,0.010108636363636401
2022-09-25,1.01086363636364,0.010108636363636401
2022-09-26,1.01086363636364,0.010108636363636401
2022-09-27,1.01086363636364,0.010108636363636401
2022-09-28,1.01086363636364,0.010108636363636401
2022-09-29,1.01086363636364,0.010108636363636401
2022-09-30,1.01086363636364,0.010108636363636401
2022-10-01,1.4276666666666695,0.014276666666666694
2022-10-02,1.4276666666666695,0.014276666666666694
2022-10-03,1.4276666666666695,0.014276666666666694
2022-10-04,1.4276666666666695,0.014276666666666694
2022-10-05,1.4276666666666695,0.014276666666666694
2022-10-06,1.4276666666666695,0.014276666666666694
2022-10-07,1.4276666666666695,0.014276666666666694
2022-10-08,1.4276666666666695,0.014276666666666694
2022-10-09,1.4276666666666695,0.014276666666666694
2022-10-10,1.4276666666666695,0.014276666666666694
2022-10-11,1.4276666666666695,0.014276666666666694
2022-10-12,1.4276666666666695,0.014276666666666694
2022-10-13,1.4276666666666695,0.014276666666666694
2022-10-14,1.4276666666666695,0.014276666666666694
2022-10-15,1.4276666666666695,0.014276666666666694
2022-10-16,1.4276666666666695,0.014276666666666694
2022-10-17,1.4276666666666695,0.014276666666666694
2022-10-18,1.4276666666666695,0.014276666666666694
2022-10-19,1.4276666666666695,0.014276666666666694
2022-10-20,1.4276666666666695,0.014276666666666694
2022-10-21,1.4276666666666695,0.014276666666666694
2022-10-22,1.4276666666666695,0.014276666666666694
2022-10-23,1.4276666666666695,0.014276666666666694
2022-10-24,1.4276666666666695,0.014276666666666694
2022-10-25,1.4276666666666695,0.014276666666666694
2022-10-26,1.4276666666666695,0.014276666666666694
2022-10-27,1.4276666666666695,0.014276666666666694
2022-10-28,1.4276666666666695,0.014276666666666694
2022-10-29,1.4276666666666695,0.014276666666666694
2022-10-30,1.4276666666666695,0.014276666666666694
2022-10-31,1.4276666666666695,0.014276666666666694
2022-11-01,1.82522727272727,0.0182522727272727
2022-11-02,1.82522727272727,0.0182522727272727
2022-11-03,1.82522727272727,0.0182522727272727
2022-11-04,1.82522727272727,0.0182522727272727
2022-11-05,1.82522727272727,0.0182522727272727
2022-11-06,1.82522727272727,0.0182522727272727
2022-11-07,1.82522727272727,0.0182522727272727
2022-11-08,1.82522727272727,0.0182522727272727
2022-11-09,1.82522727272727,0.0182522727272727
2022-11-10,1.82522727272727,0.0182522727272727
2022-11-11,1.82522727272727,0.0182522727272727
2022-11-12,1.82522727272727,0.0182522727272727
2022-11-13,1.82522727272727,0.0182522727272727
2022-11-14,1.82522727272727,0.0182522727272727
2022-11-15,1.82522727272727,0.0182522727272727
2022-11-16,1.82522727272727,0.0182522727272727
2022-11-17,1.82522727272727,0.0182522727272727
2022-11-18,1.82522727272727,0.0182522727272727
2022-11-19,1.82522727272727,0.0182522727272727
2022-11-20,1.82522727272727,0.0182522727272727
2022-11-21,1.82522727272727,0.0182522727272727
2022-11-22,1.82522727272727,0.0182522727272727
2022-11-23,1.82522727272727,0.0182522727272727
2022-11-24,1.82522727272727,0.0182522727272727
2022-11-25,1.82522727272727,0.0182522727272727
2022-11-26,1.82522727272727,0.0182522727272727
2022-11-27,1.82522727272727,0.0182522727272727
2022-11-28,1.82522727272727,0.0182522727272727
2022-11-29,1.82522727272727,0.0182522727272727
2022-11-30,1.82522727272727,0.0182522727272727
2022-12-01,2.06347619047619,0.0206347619047619
2022-12-02,2.06347619047619,0.0206347619047619
2022-12-03,2.06347619047619,0.0206347619047619
2022-12-04,2.06347619047619,0.0206347619047619
