date,log_rate_mean,log_rate_lower,log_rate_upper,rate_mean,rate_lower,rate_upper
2022-12-31,-1.3402234226185035,-1.345373422618484,-1.3353734226184841,0.26178827597628174,0.260442434603195,0.2630599245867645
2023-01-01,-1.340446422618481,-1.350496422618484,-1.3304964226184839,0.26173097965411934,0.25911159985459087,0.2643460013881302
2023-01-02,-1.3406094226184777,-1.350619422618484,-1.330619422618484,0.2616896236551,0.2590797310877781,0.26431348882952277
2023-01-03,-1.3407274226184884,-1.3507424226184839,-1.3307424226184839,0.26165967867852014,0.2590478662405826,0.2642809802697142
2023-01-04,-1.3409754226184756,-1.3558654226184839,-1.330865422618484,0.26159586919320266,0.2577241575965977,0.26424847570821247
2023-01-05,-1.3411534226184854,-1.3559884226184837,-1.325988422618484,0.2615504227695544,0.2576924594746879,0.26554036323132496
2023-01-06,-1.3413064226184823,-1.3561114226184838,-1.326111422618484,0.261511486351659,0.25766076525140713,0.2655077037752452
2023-01-07,-1.3414744226184947,-1.356234422618484,-1.3262344226184841,0.26146840067919663,0.2576290749262761,0.2654750483360315
2023-01-08,-1.3416524226184754,-1.3563574226184838,-1.326357422618484,0.26142278535732133,0.25759738849881547,0.2654423969131899
2023-01-09,-1.3417854226184878,-1.356480422618484,-1.321480422618484,0.2613892468348358,0.25756570596854567,0.2667401214119146
2023-01-10,-1.3419534226184848,-1.3616034226184839,-1.3216034226184838,0.2613462793350241,0.25624957101506185,0.2667073143946539
2023-01-11,-1.3419914226184906,-1.361726422618484,-1.321726422618484,0.2613372974797105,0.2562180542561474,0.2666745114124081
2023-01-12,-1.3420144226184763,-1.3618494226184839,-1.3218494226184838,0.26133230208463865,0.2561865413735559,0.26664171246468105
2023-01-13,-1.3422124226184833,-1.361972422618484,-1.321972422618484,0.26128179015541547,0.2561550323668106,0.26660891755097643
2023-01-14,-1.3423254226184862,-1.362095422618484,-1.322095422618484,0.2612536941899691,0.25612352723543474,0.2665761266707981
2023-01-15,-1.3424534226184845,-1.362218422618484,-1.3222184226184839,0.26122132381233987,0.2560920259789518,0.26654333982365
2023-01-16,-1.3426614226184816,-1.367341422618484,-1.317341422618484,0.2611685901362129,0.25478342138257537,0.2678464467352945
2023-01-17,-1.3427494226184846,-1.3674644226184838,-1.317464422618484,0.2611465108523381,0.25475208494897555,0.26781350364838746
2023-01-18,-1.3428374226184903,-1.3675874226184839,-1.317587422618484,0.2611252219436266,0.2547207523695199,0.2677805646132309
2023-01-19,-1.343035422618478,-1.3677104226184837,-1.317710422618484,0.26107424818908226,0.25468942364373465,0.2677476296293265
2023-01-20,-1.343108422618486,-1.3678334226184838,-1.317833422618484,0.26105581690858026,0.2546580987711456,0.267714698696176
2023-01-21,-1.3433164226184835,-1.367956422618484,-1.3179564226184841,0.2610022859829858,0.2546267777512789,0.2676817718132812
2023-01-22,-1.3435794226184887,-1.3680794226184838,-1.3130794226184839,0.26093515696146785,0.25459546058366084,0.2689904444186516
2023-01-23,-1.3437924226184779,-1.3683274226184838,-1.313202422618484,0.2608808159461353,0.2545324061682851,0.26895736062868286
2023-01-24,-1.3439904226184813,-1.373325422618484,-1.3133254226184838,0.26083005072959276,0.2532633499785856,0.2689242809077701
2023-01-25,-1.344033422618488,-1.373448422618484,-1.313448422618484,0.260819975910281,0.25323220050227024,0.26889120525541277
2023-01-26,-1.3441514226184865,-1.3735714226184839,-1.3135714226184838,0.2607901710625785,0.253201054857105,0.2688581336711105
2023-01-27,-1.3442144226184816,-1.373694422618484,-1.313694422618484,0.2607739797177991,0.2531699130426184,0.2688250661543629
2023-01-28,-1.3443624226184843,-1.373817422618484,-1.313817422618484,0.26073611549409115,0.25313877505833937,0.26879200270466974
2023-01-29,-1.3445404226184898,-1.373940422618484,-1.3139404226184839,0.26069075331975994,0.253107640903797,0.26875894332153083
2023-01-30,-1.344553422618481,-1.374063422618484,-1.313938422618484,0.2606884418280538,0.25307651057852004,0.268759562857423
2023-01-31,-1.3447564226184856,-1.374186422618484,-1.309186422618484,0.26063722169026754,0.2530453840820377,0.27003966520191064
2023-02-01,-1.3449194226184826,-1.374309422618484,-1.309309422618484,0.26059592700953343,0.25301426141387895,0.27000645236572207
2023-02-02,-1.345057422618487,-1.3745574226184838,-1.309432422618484,0.2605606789372581,0.25295159860638583,0.26997324361446123
2023-02-03,-1.345295422618478,-1.3746804226184839,-1.309555422618484,0.26049933838478917,0.2529204874731311,0.26994003894762547
2023-02-04,-1.3453134226184806,-1.379678422618484,-1.309678422618484,0.26049590274157386,0.25165946804161177,0.26990683836471263
2023-02-05,-1.345256422618486,-1.3798014226184838,-1.309801422618484,0.26051203631517406,0.25162851583064266,0.26987364186522034
2023-02-06,-1.3453744226184854,-1.379924422618484,-1.309924422618484,0.2604823980523469,0.25159756742656136,0.2698404494486464
2023-02-07,-1.3453074226184807,-1.3800474226184838,-1.310047422618484,0.26050081019899546,0.2515666228288997,0.2698072611144886
2023-02-08,-1.3453104226184853,-1.3801704226184839,-1.310170422618484,0.26050145873351144,0.2515356820371894,0.26977407686224486
2023-02-09,-1.3455384226184874,-1.3802934226184838,-1.310293422618484,0.2604430322602293,0.25150474505096254,0.26974089669141316
2023-02-10,-1.3456114226184819,-1.3804164226184839,-1.310416422618484,0.26042469059846635,0.2514738118697509,0.26970772060149145
2023-02-11,-1.3458444226184818,-1.380539422618484,-1.3104144226184842,0.26036569746768395,0.25144288249308655,0.2697083423244795
2023-02-12,-1.3460674226184821,-1.3806624226184838,-1.3056624226184839,0.2603087557239758,0.2514119569205016,0.2709929637074984
