date,log_rate_mean,log_rate_lower,log_rate_upper,rate_mean,rate_lower,rate_upper
2022-12-31,-2.8324821831480396,-2.8530421831480797,-2.8130421831480796,0.05887005417322778,0.05766861525650763,0.060022116091728674
2023-01-01,-2.833065183148113,-2.85316518314808,-2.79316518314808,0.05883924911393872,0.05766152245304741,0.06122711187009158
2023-01-02,-2.8334281831480665,-2.87328818314808,-2.79328818314808,0.0588219506701615,0.05651279630787032,0.06121958139846507
2023-01-03,-2.8336311831481042,-2.8734111831480798,-2.7934111831480797,0.05881271666841547,0.05650584566139798,0.0612120518530296
2023-01-04,-2.834034183148037,-2.8735341831480796,-2.7935341831480796,0.058792542551778904,0.05649889586980258,0.06120452323367127
2023-01-05,-2.834517183148104,-2.89365718314808,-2.77365718314808,0.058767886959867885,0.05537333143622159,0.06243325685580112
2023-01-06,-2.8348801831480683,-2.89378018314808,-2.7737801831480797,0.05874972160753127,0.05536652093530933,0.062425578037464874
2023-01-07,-2.8351631831480733,-2.8939031831480797,-2.7739031831480796,0.05873593987985944,0.055359711272037176,0.062417900163565194
2023-01-08,-2.835306183148109,-2.89402618314808,-2.77402618314808,0.0587303815598802,0.05535290244630207,0.06241022323398591
2023-01-09,-2.835329183148056,-2.89414918314808,-2.77414918314808,0.058732512905212246,0.05534609445800104,0.06240254724861091
2023-01-10,-2.835812183148117,-2.8942721831480798,-2.7542721831480796,0.058706840844508376,0.05533928730703108,0.06365533223671019
2023-01-11,-2.835435183148043,-2.9143951831480797,-2.7543951831480795,0.05873195211991385,0.054236824460393324,0.0636475031123461
2023-01-12,-2.835138183148108,-2.91451818314808,-2.75451818314808,0.05875301427214322,0.05423015374124232,0.06363967495090506
2023-01-13,-2.835481183148062,-2.91464118314808,-2.7546411831480797,0.05873719097316202,0.05422348384253933,0.06363184775226868
2023-01-14,-2.8356041831480696,-2.9147641831480797,-2.7547641831480796,0.05873417804636708,0.054216814764183434,0.06362402151631855
2023-01-15,-2.8357671831480995,-2.91488718314808,-2.75488718314808,0.05872790862610875,0.054210146506073704,0.0636161962429362
2023-01-16,-2.836390183148055,-2.91501018314808,-2.7550101831480798,0.05869548687706358,0.0542034790681093,0.0636083719320033
2023-01-17,-2.836193183148115,-2.93513318314808,-2.7551331831480796,0.05871065915854991,0.05312364366113063,0.06360054858340149
2023-01-18,-2.836056183148047,-2.9352561831480797,-2.75475618314808,0.05872390895434702,0.05311710985479764,0.06362484265414067
2023-01-19,-2.836499183148102,-2.93537918314808,-2.73537918314808,0.05870124031107624,0.05311057685207339,0.06486940505460012
2023-01-20,-2.8363821831480585,-2.93550218314808,-2.7355021831480797,0.05871149118571167,0.053104044652859075,0.0648614266084629
2023-01-21,-2.836865183148083,-2.9356251831480797,-2.7356251831480796,0.058685672223764175,0.05309751325705586,0.06485344914361423
2023-01-22,-2.8373281831480894,-2.93574818314808,-2.73574818314808,0.0586623493162776,0.0530909826645649,0.06484547265993333
2023-01-23,-2.837771183148067,-2.93587118314808,-2.7358711831480798,0.05863990429435105,0.05308445287528744,0.06483749715729964
2023-01-24,-2.8383941831481074,-2.93599418314808,-2.7359941831480796,0.05860670340863432,0.05307792388912466,0.06482952263559244
2023-01-25,-2.838317183148055,-2.93661718314808,-2.73561718314808,0.05861474262379585,0.05304512360486679,0.06485428614854914
2023-01-26,-2.838300183148105,-2.95624018314808,-2.71624018314808,0.0586190279064457,0.05201411353209591,0.06612289763239802
2023-01-27,-2.83832318314805,-2.93636318314808,-2.7163631831480797,0.05861940485316548,0.05305834174833674,0.06611476501615539
2023-01-28,-2.838406183148091,-2.9564861831480798,-2.7164861831480795,0.05861793358627693,0.05200131963388103,0.06610663340016305
2023-01-29,-2.8387691831480804,-2.95660918314808,-2.71660918314808,0.05859939722062395,0.051994923864913896,0.06609850278429794
2023-01-30,-2.8385321831480756,-2.95673218314808,-2.7167321831480797,0.058616388963690785,0.051988528882577996,0.0660903731684371
2023-01-31,-2.8391151831481034,-2.95685518314808,-2.7168551831480796,0.058587469342584554,0.05198213468677655,0.06608224455245752
2023-02-01,-2.8393381831480475,-2.9569781831480797,-2.7169781831480795,0.058578317210663304,0.05197574127741282,0.06607411693623622
2023-02-02,-2.8394211831481107,-2.95710118314808,-2.71710118314808,0.05857592187236588,0.051969348654390055,0.06606599031965021
2023-02-03,-2.8399441831480527,-2.95722418314808,-2.7172241831480797,0.05854649600283551,0.051962956817611594,0.06605786470257659
2023-02-04,-2.839667183148096,-2.9573471831480798,-2.7173471831480795,0.058566085639486495,0.051956565766980704,0.06604974008489242
2023-02-05,-2.8390701831480754,-2.95747018314808,-2.71697018314808,0.05860500045240646,0.05195017550240068,0.0660749696952286
2023-02-06,-2.8392131831480665,-2.95809318314808,-2.71709318314808,0.05859933699471495,0.05191807212685636,0.0660668429737597
2023-02-07,-2.838796183148101,-2.95821618314808,-2.6977161831480796,0.05862749403963404,0.05191168659670292,0.06735917322169706
2023-02-08,-2.8385391831480535,-2.95833918314808,-2.6978391831480795,0.058647050431576975,0.05190530185192139,0.06735088855290837
2023-02-09,-2.8392021831481133,-2.97796218314808,-2.69796218314808,0.05861110037499016,0.05089644589301786,0.06734260490307126
2023-02-10,-2.839085183148056,-2.97808518314808,-2.6980851831480797,0.05862129353654438,0.05089018601516341,0.06733432227206043
2023-02-11,-2.839528183148091,-2.97820818314808,-2.6982081831480795,0.05860061785290678,0.05088392690722658,0.06732604065975058
2023-02-12,-2.8403711831480725,-2.97833118314808,-2.69833118314808,0.058554236170525596,0.05087766856911266,0.06731776006601636
